time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1675187751,43c93f,51.06496519961599,-1.598281860351562,49.58450286806796,202.5741380786482,1.6256,CRNGE1,True,True,True,NaN,182.88,327.66,1675187750.669,1675187750.85,1675184400,False
1675187752,43c93f,51.064306274738115,-1.5985638128832549,75.87199922114692,-164.94856551607472,1.828800000000001,CRNGE1,True,True,True,NaN,184.0992,329.4888,1675187751.669,1675187751.85,1675184400,True
1675187753,43c93f,51.063700129096205,-1.5988388048919555,70.08624518840496,-164.0864196016689,3.657600000000002,CRNGE1,True,True,True,NaN,185.3184,331.3176,1675187752.669,1675187752.85,1675184400,True
1675187754,43c93f,51.06314232472492,-1.5991071010740179,64.79680358434268,-163.18085488712947,5.486400000000003,CRNGE1,True,True,True,NaN,186.5376,333.1464,1675187753.669,1675187753.85,1675184400,True
1675187755,43c93f,51.06262842365894,-1.5993689661257948,60.001874694468285,-162.24256368035537,7.315200000000004,CRNGE1,True,True,True,NaN,187.7568,334.97520000000003,1675187754.669,1675187754.85,1675184400,True
1675187756,43c93f,51.06215398793294,-1.59962466474364,55.69897022217186,-161.2877401846019,9.144000000000005,CRNGE1,True,True,True,NaN,188.976,336.80400000000003,1675187755.669,1675187755.85,1675184400,True
1675187757,43c93f,51.0617145795816,-1.5998744616239076,51.884831534949754,-160.33905036450477,10.972800000000007,CRNGE1,True,True,True,NaN,190.1952,338.63280000000003,1675187756.669,1675187756.85,1675184400,True
1675187758,43c93f,51.06130576063957,-1.6001186214629508,48.55541723025243,-159.4261845825539,12.801600000000008,CRNGE1,True,True,True,NaN,191.4144,340.46160000000003,1675187757.669,1675187757.85,1675184400,True
1675187759,43c93f,51.06092309314154,-1.6003574089571229,45.70600658278866,-158.5856234242131,14.630400000000009,CRNGE1,True,True,True,NaN,192.6336,342.29040000000003,1675187758.669,1675187758.85,1675184400,True
1675187760,43c93f,51.06056213912219,-1.6005910888027775,43.33146374693338,-157.8592245907976,16.45920000000001,CRNGE1,True,True,True,NaN,193.8528,344.11920000000003,1675187759.669,1675187759.85,1675184400,True
1675187761,43c93f,51.06021846061617,-1.6008199256962683,41.42668666289153,-157.2913465556516,18.28800000000001,CRNGE1,True,True,True,NaN,195.072,345.94800000000004,1675187760.669,1675187760.85,1675184400,True
1675187762,43c93f,51.05988761965817,-1.601044184333949,39.98721976921904,-156.92450994781407,20.116800000000012,CRNGE1,True,True,True,NaN,196.2912,347.77680000000004,1675187761.669,1675187761.85,1675184400,True
1675187763,43c93f,51.05956517828285,-1.6012641294121726,39.0099462603123,-156.7940426073789,21.945599999999956,CRNGE1,True,True,True,NaN,197.5104,349.6056,1675187762.669,1675187762.85,1675184400,True
1675187764,43c93f,51.0592466985249,-1.6014800256272934,38.49371445338572,-156.92264100710074,23.774399999999957,CRNGE1,True,True,True,NaN,198.7296,351.4344,1675187763.669,1675187763.85,1675184400,True
1675187765,43c93f,51.05892774241898,-1.6016921376756639,38.43972622274308,-157.31610351916268,25.60319999999996,CRNGE1,True,True,True,NaN,199.9488,353.2632,1675187764.669,1675187764.85,1675184400,True
1675187766,43c93f,51.05860387199976,-1.6019007302536388,38.85155020167959,-157.9614392577115,27.43199999999996,CRNGE1,True,True,True,NaN,201.168,355.092,1675187765.669,1675187765.85,1675184400,True
1675187767,43c93f,51.058270649301924,-1.602106068057571,39.73472006982856,-158.82804218363754,29.26079999999996,CRNGE1,True,True,True,NaN,202.3872,356.9208,1675187766.669,1675187766.85,1675184400,True
