time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1674221390,3d068f,51.09992593021716,9.505386352539062,48.04477319463786,192.9946167919165,-0.32512,DEAST,True,True,True,2707,1341.12,1318.26,1674221389.83,1674221389.879,1674219600,False
1674221391,3d068f,51.0995069600768,9.50531005859375,48.04477319463786,192.9946167919165,-0.32512,DEAST,True,True,True,2707,1341.12,1318.26,1674221390.85,1674221390.951,1674219600,False
1674221392,3d068f,51.09906005859375,9.505103858741554,48.04477319463786,192.9946167919165,-0.32512,DEAST,True,True,True,2707,1341.12,1318.26,1674221391.961,1674221391.994,1674219600,False
1674221393,3d068f,51.09876212427172,9.5050048828125,48.04477319463786,192.9946167919165,-0.32512,DEAST,True,True,True,2707,1341.12,1318.26,1674221392.515,1674221392.675,1674219600,False
1674221394,3d068f,51.09828186035156,9.504806930954391,48.6632482013781,193.4486150516865,-0.32512,DEAST,True,True,True,2707,1341.12,1310.64,1674221393.547,1674221393.951,1674219600,False
1674221395,3d068f,51.09778452727754,9.504623413085938,48.6632482013781,193.4486150516865,-0.32512,DEAST,True,True,True,2707,1341.12,1310.64,1674221394.695,1674221394.773,1674219600,False
1674221396,3d068f,51.09732055664062,9.50443577122044,49.16373116331884,193.3091786954005,-0.32512,DEAST,True,True,True,2707,1341.12,1310.64,1674221395.789,1674221395.98,1674219600,False
1674221397,3d068f,51.09690856933594,9.504287307326859,49.28470178676349,193.8911911714548,-0.32512,DEAST,True,True,True,2707,1341.12,1310.64,1674221396.771,1674221396.949,1674219600,False
1674221398,3d068f,51.09643451238082,9.50408935546875,49.78425325199365,193.7490489834193,-0.32512,DEAST,True,True,True,2707,1341.12,1303.02,1674221397.703,1674221397.942,1674219600,False
1674221399,3d068f,51.0961086467161,9.503936767578125,49.9090226855629,194.3227199782036,-0.32512,DEAST,True,True,True,2707,1341.12,1303.02,1674221398.649,1674221398.926,1674219600,False
1674221400,3d068f,51.09550346762447,9.503707885742188,49.9090226855629,194.3227199782036,-0.32512,DEAST,True,True,True,2707,1341.12,1295.4,1674221399.9,1674221399.967,1674219600,False
1674221401,3d068f,51.09508449748411,9.503555297851562,50.40763724213561,194.1780644147069,-0.32512,DEAST,True,True,True,2707,1341.12,1287.78,1674221400.871,1674221400.979,1674219600,False
1674221402,3d068f,51.09471207958156,9.503402709960938,50.40763724213561,194.1780644147069,-0.32512,DEAST,True,True,True,2707,1341.12,1287.78,1674221401.817,1674221401.956,1674219600,False
1674221403,3d068f,51.09420776367188,9.503173828125,50.90656681116604,194.0362434679265,-0.32512,DEAST,True,True,True,2707,1341.12,1287.78,1674221402.965,1674221402.965,1674219600,False
1674221404,3d068f,51.09379577636719,9.50302536423142,50.90656681116604,194.0362434679265,-0.32512,DEAST,True,True,True,2707,1341.12,1287.78,1674221403.766,1674221403.782,1674219600,False
1674221405,3d068f,51.09331551244703,9.50286865234375,51.40580222040076,193.8971763150153,-0.32512,DEAST,True,True,True,2707,1341.12,1287.78,1674221404.788,1674221404.912,1674219600,False
1674221406,3d068f,51.09283447265625,9.502654204497466,51.28467440038562,193.3392489033634,-0.32512,DEAST,True,True,True,2707,1341.12,1280.16,1674221405.839,1674221405.988,1674219600,False
1674221407,3d068f,51.09233791545286,9.502487182617188,51.28467440038562,193.3392489033634,-0.32512,DEAST,True,True,True,2707,1341.12,1287.78,1674221406.987,1674221406.989,1674219600,False
1674221408,3d068f,51.09210515426377,9.502410888671875,51.16843226094042,192.778733188406,-0.32512,DEAST,True,True,True,2707,1341.12,1287.78,1674221407.565,1674221407.969,1674219600,False
1674221409,3d068f,51.09154652740995,9.502182006835938,51.16843226094042,192.778733188406,-0.32512,DEAST,True,True,True,2707,1341.12,1287.78,1674221408.732,1674221408.812,1674219600,False
1674221410,3d068f,51.09109497070312,9.502060348923141,51.16843226094042,192.778733188406,-0.32512,DEAST,True,True,True,2707,1341.12,1287.78,1674221409.904,1674221409.962,1674219600,False
1674221411,3d068f,51.0906154826536,9.501876831054688,51.05710917188321,192.2157191341309,-0.32512,DEAST,True,True,True,2707,1341.12,1287.78,1674221410.989,1674221410.989,1674219600,False
1674221412,3d068f,51.09031677246094,9.50183765308277,50.84934794723252,191.0825694630296,-0.32512,DEAST,True,True,True,2707,1341.12,1295.4,1674221411.731,1674221411.949,1674219600,False
1674221413,3d068f,51.0898240946107,9.50164794921875,50.84934794723252,191.0825694630296,-0.32512,DEAST,True,True,True,2707,1341.12,1295.4,1674221412.823,1674221412.996,1674219600,False
1674221414,3d068f,51.08930969238281,9.501540725295609,50.84934794723252,191.0825694630296,-0.32512,DEAST,True,True,True,2707,1341.12,1295.4,1674221413.787,1674221413.938,1674219600,False
1674221415,3d068f,51.08894348144531,9.501392261402026,51.16843226094042,189.8411317596344,-0.32512,DEAST,True,True,True,2707,1341.12,1295.4,1674221414.617,1674221414.974,1674219600,False
1674221416,3d068f,51.08853149414062,9.501318029455236,51.16843226094042,189.8411317596344,-0.32512,DEAST,True,True,True,2707,1341.12,1303.02,1674221415.503,1674221415.975,1674219600,False
1674221417,3d068f,51.0880085573358,9.501190185546875,51.16843226094042,189.8411317596344,-0.32512,DEAST,True,True,True,2707,1341.12,1303.02,1674221416.592,1674221416.829,1674219600,False
1674221418,3d068f,51.0875244140625,9.501021101668075,51.16843226094042,189.8411317596344,-0.32512,DEAST,True,True,True,2707,1341.12,1303.02,1674221417.739,1674221417.828,1674219600,False
