time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1673003214,3d24fe,48.4839694782839,7.911963211862663,55.79998370774887,18.26790620724112,-0.32512,DEMGK,True,True,True,NaN,845.82,,1673003213.839,1673003213.839,1673002800,False
1673003215,3d24fe,48.48443500066207,7.912180047286183,55.9633738546509,18.76806006684338,-0.32512,DEMGK,True,True,True,NaN,845.82,,1673003214.71,1673003214.71,1673002800,False
1673003216,3d24fe,48.48472595214844,7.912339430588942,56.45070688154911,18.60006588603308,-0.32512,DEMGK,True,True,True,NaN,845.82,,1673003215.146,1673003215.146,1673002800,False
1673003217,3d24fe,48.48541259765625,7.912685996607729,56.45070688154911,18.60006588603308,-0.32512,DEMGK,True,True,True,NaN,845.82,,1673003216.791,1673003216.791,1673002800,False
1673003218,3d24fe,48.486060582802466,7.912966875771816,74.96744066244496,16.0294490093318,,DEMGK,True,True,True,NaN,847.725,,1673003217.791,1673003217.791,1673002800,True
1673003219,3d24fe,48.48648690398197,7.913249053302358,51.76585307025961,23.686957069365228,,DEMGK,True,True,True,NaN,849.6300000000001,,1673003218.791,1673003218.791,1673002800,True
1673003220,3d24fe,48.486913944313066,7.913532793177402,51.885321448793526,23.767742558190804,,DEMGK,True,True,True,NaN,851.5350000000001,,1673003219.791,1673003219.791,1673002800,True
1673003221,3d24fe,48.48756408691406,7.913818359374999,57.103284,18.92464441605124,-0.32512,DEMGK,True,True,True,NaN,853.44,,1673003220.994,1673003220.994,1673002800,False
1673003222,3d24fe,48.48781566073846,7.913923646381663,29.02995822481564,15.50305368454042,,DEMGK,True,True,True,NaN,857.25,,1673003221.994,1673003221.994,1673002800,True
1673003223,3d24fe,48.48806762695312,7.914029634915865,56.61689362809683,19.09349200048561,-0.32512,DEMGK,True,True,True,NaN,861.0600000000001,,1673003222.089,1673003222.09,1673002800,False
1673003224,3d24fe,48.48871494050222,7.914278253051578,74.2734100223389,14.281531582881188,,DEMGK,True,True,True,NaN,863.6,,1673003223.089,1673003223.09,1673002800,True
1673003225,3d24fe,48.489231802856956,7.914522916933763,60.234483814943836,17.418036620311643,,DEMGK,True,True,True,NaN,866.1400000000001,,1673003224.089,1673003224.09,1673002800,True
