time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1675002126,3ffad4,49.30872383764235,8.449299460963198,0.14826143311244352,-105.23519997055006,0.0,DMCTP,True,True,True,NaN,-22.86,144.78,1675002125.547,1675002125.547,1675000800,False
1675002127,3ffad4,49.308723487262725,8.449297487772187,0.14826143311244352,-105.23519997055006,0.0,DMCTP,True,True,True,NaN,-22.86,144.78,1675002126.547,1675002126.547,1675000800,True
1675002128,3ffad4,49.30872311453621,8.449295414944013,0.15588476068340612,-105.41873638456215,0.0,DMCTP,True,True,True,NaN,-22.86,144.78,1675002127.547,1675002127.547,1675000800,True
1675002129,3ffad4,49.30872272026247,8.449293245800462,0.16325368419008304,-105.57780480472107,0.0,DMCTP,True,True,True,NaN,-22.86,144.78,1675002128.547,1675002128.547,1675000800,True
1675002130,3ffad4,49.30872230524118,8.449290983663323,0.17036785338879493,-105.71629478016705,0.0,DMCTP,True,True,True,NaN,-22.86,144.78,1675002129.547,1675002129.547,1675000800,True
1675002131,3ffad4,49.30872187027203,8.449288631854378,0.17722699132788788,-105.83728123651575,0.0,DMCTP,True,True,True,NaN,-22.86,144.78,1675002130.547,1675002130.547,1675000800,True
1675002132,3ffad4,49.308721416154675,8.44928619369542,0.18383087800883485,-105.9432297364626,0.0,DMCTP,True,True,True,NaN,-22.86,144.78,1675002131.547,1675002131.547,1675000800,True
1675002133,3ffad4,49.3087209436888,8.449283672508232,0.19017933606692786,-106.03613242462093,0.0,DMCTP,True,True,True,NaN,-22.86,144.78,1675002132.547,1675002132.547,1675000800,True
1675002134,3ffad4,49.30872045367407,8.4492810716146,0.19627222170626832,-106.11761874723445,0.0,DMCTP,True,True,True,NaN,-22.86,144.78,1675002133.547,1675002133.547,1675000800,True
1675002135,3ffad4,49.308719946910145,8.449278394336313,0.2021094178301661,-106.18903154427842,0.0,DMCTP,True,True,True,NaN,-22.86,144.78,1675002134.547,1675002134.547,1675000800,True
1675002136,3ffad4,49.30871942419673,8.449275643995156,0.20769082647654621,-106.25148179313291,0.0,DMCTP,True,True,True,NaN,-22.86,144.78,1675002135.547,1675002135.547,1675000800,True
1675002137,3ffad4,49.30871888633347,8.44927282391292,0.21301636982950675,-106.30590139830663,0.0,DMCTP,True,True,True,NaN,-22.86,144.78,1675002136.547,1675002136.547,1675000800,True
1675002138,3ffad4,49.30871833412005,8.449269937411387,0.21808598200570198,-106.35306897578904,0.0,DMCTP,True,True,True,NaN,-22.86,144.78,1675002137.547,1675002137.547,1675000800,True
