time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1674922207,3935ab,48.82136535644531,2.63763427734375,41.74927802357421,93.53229458389089,5.52704,FGNNL,True,True,True,7000,45.72,251.46,1674922206.557,1674922206.557,1674921600,False
1674922208,3935ab,48.82133623934515,2.638250656637619,44.56018016579117,-85.89599446627899,0.0,FGNNL,True,True,True,7000,45.72,251.46,1674922207.557,1674922207.557,1674921600,True
1674922209,3935ab,48.821310896701895,2.63886739991097,44.374877468403824,-86.42859234216526,3.048000000000002,FGNNL,True,True,True,7000,51.816,251.46,1674922208.557,1674922208.557,1674921600,True
1674922210,3935ab,48.82122930170518,2.6394662509407807,42.71004734053852,-78.30791867772516,3.0479999999999983,FGNNL,True,True,True,7000,57.912,251.46,1674922209.557,1674922209.557,1674921600,True
1674922211,3935ab,48.82100125973824,2.6399759330864945,42.69880967330818,-55.80197840591601,3.0480000000000054,FGNNL,True,True,True,7000,64.00800000000001,251.46,1674922210.557,1674922210.557,1674921600,True
1674922212,3935ab,48.82074902231365,2.6404608037271675,42.67947537324535,-51.687447014805194,3.0479999999999947,FGNNL,True,True,True,7000,70.104,251.46,1674922211.557,1674922211.557,1674921600,True
1674922213,3935ab,48.82049560546875,2.640944260817307,43.94508203207035,117.1649850573319,4.8768,FGNNL,True,True,True,7000,76.2,251.46,1674922212.555,1674922212.762,1674921600,False
1674922214,3935ab,48.82036081433598,2.6413292286645964,42.891679685624865,-61.996643478565744,0.0,FGNNL,True,True,True,7000,76.2,251.46,1674922213.555,1674922213.762,1674921600,True
1674922215,3935ab,48.82021629204184,2.641705964740954,44.67080504854866,118.9264258352536,4.55168,FGNNL,True,True,True,7000,83.82000000000001,259.08,1674922214.096,1674922214.82,1674921600,False
1674922216,3935ab,48.8199462890625,2.642493614783654,44.92189106840895,119.5007246234992,4.55168,FGNNL,True,True,True,7000,91.44,259.08,1674922215.526,1674922215.984,1674921600,False
