time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1673005923,39c58d,48.65402480303231,6.205179314864309,48.54890642522462,195.3616163118486,6.827520000000001,FHRMN,True,True,True,NaN,739.14,762.0,1673005922.922,1673005922.922,1673002800,False
1673005924,39c58d,48.65382385253906,6.205092210036057,48.54890642522462,195.3616163118486,6.827520000000001,FHRMN,True,True,True,NaN,746.76,762.0,1673005923.415,1673005923.415,1673002800,False
1673005925,39c58d,48.65331051369011,6.20494251709246,58.13014554869217,-169.09615378163858,6.015789473684208,FHRMN,True,True,True,NaN,753.5778947368422,768.0157894736842,1673005924.415,1673005924.415,1673002800,True
1673005926,39c58d,48.65282356857127,6.204784088723588,55.38236965153077,-167.869744008248,12.031578947368416,FHRMN,True,True,True,NaN,760.3957894736842,774.0315789473684,1673005925.415,1673005925.415,1673002800,True
1673005927,39c58d,48.65236006330565,6.204618131111625,52.96160284638216,-166.692044551631,18.047368421052624,FHRMN,True,True,True,NaN,767.2136842105264,780.0473684210526,1673005926.415,1673005926.415,1673002800,True
1673005928,39c58d,48.65191704401636,6.204445850438757,50.86115117088995,-165.59197771248589,24.063157894736833,FHRMN,True,True,True,NaN,774.0315789473684,786.0631578947368,1673005927.415,1673005927.415,1673002800,True
1673005929,39c58d,48.65149155682648,6.204268452887169,49.07388906224634,-164.60039925608874,30.07894736842104,FHRMN,True,True,True,NaN,780.8494736842106,792.078947368421,1673005928.415,1673005928.415,1673002800,True
1673005930,39c58d,48.651080647859146,6.204087144639047,47.59263806576299,-163.74858642452992,36.09473684210525,FHRMN,True,True,True,NaN,787.6673684210526,798.0947368421052,1673005929.415,1673005929.415,1673002800,True
1673005931,39c58d,48.650681363237446,6.203903131876575,46.41063553344988,-163.0664041010657,42.11052631578946,FHRMN,True,True,True,NaN,794.4852631578948,804.1105263157895,1673005930.415,1673005930.415,1673002800,True
1673005932,39c58d,48.65029074908448,6.203717620781939,45.52205217086214,-162.58030257033468,48.126315789473665,FHRMN,True,True,True,NaN,801.3031578947368,810.1263157894737,1673005931.415,1673005931.415,1673002800,True
