time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1674647856,39d228,43.45069497318591,5.192609514508929,54.4071654921129,310.0136662287645,7.477760000000001,FHURI1,True,True,True,1000,411.48,541.02,1674647855.814,1674647855.888,1674644400,False
1674647857,39d228,43.45097428661282,5.192086356026786,54.01417021111465,310.3645365730973,6.827520000000001,FHURI1,True,True,True,1000,419.1,541.02,1674647856.815,1674647856.962,1674644400,False
1674647858,39d228,43.45133972167969,5.191551031068315,54.01417021111465,310.3645365730973,6.177280000000001,FHURI1,True,True,True,4746,426.72,563.88,1674647857.915,1674647857.964,1674644400,False
1674647859,39d228,43.45162601794227,5.191105433872767,54.01417021111465,310.3645365730973,6.177280000000001,FHURI1,True,True,True,4746,426.72,556.26,1674647858.796,1674647858.951,1674644400,False
1674647860,39d228,43.45198059082031,5.190529047056686,54.34876257824916,310.7777697938573,5.85216,FHURI1,True,True,True,4746,434.34,563.8800000000001,1674647859.872,1674647859.872,1674644400,False
1674647861,39d228,43.45230102539062,5.190018055050873,54.01417021111465,310.3645365730973,5.85216,FHURI1,True,True,True,4746,441.96,571.5,1674647860.906,1674647860.931,1674644400,False
1674647862,39d228,43.45248413085938,5.189698685047238,54.01417021111465,310.3645365730973,5.85216,FHURI1,True,True,True,4746,441.96,579.12,1674647861.48,1674647861.872,1674644400,False
1674647863,39d228,43.45266723632812,5.189443189044332,53.62323018583122,310.7205364697548,6.177280000000001,FHURI1,True,True,True,4746,449.58,586.74,1674647862.067,1674647862.926,1674644400,False
1674647864,39d228,43.45317077636719,5.188612827034884,53.23439069613072,311.0817511359326,6.502400000000001,FHURI1,True,True,True,4746,464.8200000000001,594.36,1674647863.663,1674647863.883,1674644400,False
1674647865,39d228,43.45353465969279,5.188097272600446,52.46319989301453,311.8201698801358,7.477760000000001,FHURI1,True,True,True,4746,472.44,601.98,1674647864.769,1674647864.794,1674644400,False
1674647866,39d228,43.4538139731197,5.187574114118304,52.08094465363377,312.1975484801332,8.128,FHURI1,True,True,True,4746,480.06,601.98,1674647865.813,1674647865.813,1674644400,False
1674647867,39d228,43.45413983878443,5.187116350446429,51.32336327434717,312.9690857631469,8.45312,FHURI1,True,True,True,4746,487.68,609.6,1674647866.736,1674647866.736,1674644400,False
1674647868,39d228,43.45445251464844,5.186696607013082,51.30273283907515,313.7811247648687,8.45312,FHURI1,True,True,True,4746,487.68,624.84,1674647867.717,1674647867.994,1674644400,False
1674647869,39d228,43.45458984375,5.186568859011628,50.93255413574968,314.1815445383114,8.45312,FHURI1,True,True,True,4746,495.3,632.46,1674647868.116,1674647868.861,1674644400,False
1674647870,39d228,43.45509338378906,5.185802371002907,50.56489938764732,315.4121927414023,8.128,FHURI1,True,True,True,4746,510.54,647.7,1674647869.646,1674647869.794,1674644400,False
1674647871,39d228,43.45523071289062,5.185674623001454,50.20509575622044,315.830315486258,7.80288,FHURI1,True,True,True,4746,510.54,647.7,1674647870.091,1674647870.802,1674644400,False
1674647872,39d228,43.45573425292969,5.184972008993459,50.22090755518144,316.6602823689828,7.80288,FHURI1,True,True,True,4746,525.78,662.9399999999999,1674647871.659,1674647871.776,1674644400,False
1674647873,39d228,43.45609503277277,5.184500558035714,50.22090755518144,316.6602823689828,7.477760000000001,FHURI1,True,True,True,4746,533.4,655.3199999999999,1674647872.794,1674647872.884,1674644400,False
1674647874,39d228,43.45637512207031,5.184141646984012,49.52041257475725,317.5261169116196,7.477760000000001,FHURI1,True,True,True,4746,541.02,678.18,1674647873.635,1674647873.806,1674644400,False
1674647875,39d228,43.45674676410222,5.183650425502232,49.17449615822853,317.9682340298717,7.477760000000001,FHURI1,True,True,True,4746,548.64,678.1800000000001,1674647874.715,1674647874.961,1674644400,False
1674647876,39d228,43.45707262976695,5.183258056640625,49.17449615822853,317.9682340298717,7.477760000000001,FHURI1,True,True,True,4746,556.26,685.8,1674647875.795,1674647875.952,1674644400,False
1674647877,39d228,43.45742797851562,5.18280029296875,48.83154911033808,318.4165881917713,7.477760000000001,FHURI1,True,True,True,4746,563.88,693.4200000000001,1674647876.848,1674647876.904,1674644400,False
1674647878,39d228,43.45781746557203,5.182407924107142,49.21753259237818,318.8140748342904,7.477760000000001,FHURI1,True,True,True,4746,571.5,701.04,1674647877.945,1674647877.945,1674644400,False
1674647879,39d228,43.45814333123676,5.182015555245536,48.88030212508724,319.2678933002908,7.152640000000001,FHURI1,True,True,True,4746,579.12,708.6600000000001,1674647878.965,1674647878.965,1674644400,False
1674647880,39d228,43.45843505859375,5.181650560955669,48.88030212508724,319.2678933002908,6.827520000000001,FHURI1,True,True,True,4746,586.74,716.28,1674647879.863,1674647879.863,1674644400,False
1674647881,39d228,43.45880126953125,5.181267316951309,49.27127527337331,319.6582541096756,6.502400000000001,FHURI1,True,True,True,4746,594.36,716.28,1674647880.865,1674647880.865,1674644400,False
1674647882,39d228,43.45907437599311,5.180903843470982,49.27127527337331,319.6582541096756,6.177280000000001,FHURI1,True,True,True,4746,594.36,723.9000000000001,1674647881.852,1674647881.852,1674644400,False
1674647883,39d228,43.45944213867188,5.180436954941861,49.27127527337331,319.6582541096756,5.85216,FHURI1,True,True,True,4746,601.98,731.52,1674647882.859,1674647882.982,1674644400,False
1674647884,39d228,43.45980834960938,5.1800537109375,49.66449942914476,320.0424510691709,5.85216,FHURI1,True,True,True,4746,609.6,739.1400000000001,1674647883.843,1674647883.893,1674644400,False
1674647885,39d228,43.46009852522511,5.179726736886161,49.66449942914476,320.0424510691709,5.52704,FHURI1,True,True,True,4746,617.22,739.14,1674647884.737,1674647884.815,1674644400,False
1674647886,39d228,43.46026611328125,5.179542718931686,49.66449942914476,320.0424510691709,5.20192,FHURI1,True,True,True,4746,617.22,739.14,1674647885.25,1674647885.981,1674644400,False
1674647887,39d228,43.46079680879237,5.178941999162946,49.9964406952087,319.590543185606,4.8768,FHURI1,True,True,True,4746,624.84,746.76,1674647886.811,1674647886.811,1674644400,False
1674647888,39d228,43.46112267445709,5.178549630301339,49.9964406952087,319.590543185606,5.20192,FHURI1,True,True,True,4746,632.46,746.76,1674647887.765,1674647887.938,1674644400,False
1674647889,39d228,43.46149509235964,5.178091866629464,50.72167394547479,319.5247684728342,4.8768,FHURI1,True,True,True,4746,632.46,754.38,1674647888.742,1674647888.867,1674644400,False
1674647890,39d228,43.46186828613281,5.177690372910611,51.05710917188321,319.0856167799749,4.8768,FHURI1,True,True,True,4746,640.08,762.0,1674647889.859,1674647889.882,1674644400,False
1674647891,39d228,43.46223992816472,5.177241734095982,51.05710917188321,319.0856167799749,4.8768,FHURI1,True,True,True,4746,647.7,769.62,1674647890.976,1674647890.976,1674644400,False
1674647892,39d228,43.46247268935381,5.176980154854911,51.39550458363471,318.6522227803063,4.8768,FHURI1,True,True,True,4746,647.7,769.62,1674647891.536,1674647891.536,1674644400,False
1674647893,39d228,43.46279855501854,5.176522391183036,51.39550458363471,318.6522227803063,4.8768,FHURI1,True,True,True,4746,655.32,777.24,1674647892.553,1674647892.553,1674644400,False
1674647894,39d228,43.46312442068326,5.176130022321429,51.73680209562148,318.2245226065199,4.8768,FHURI1,True,True,True,4746,655.32,784.8600000000001,1674647893.61,1674647893.955,1674644400,False
1674647895,39d228,43.46363649529926,5.175541469029017,51.73680209562148,318.2245226065199,4.8768,FHURI1,True,True,True,4746,662.94,784.86,1674647894.984,1674647894.984,1674644400,False
1674647896,39d228,43.46392822265625,5.175135412881541,52.46319989301453,318.1798301198642,4.8768,FHURI1,True,True,True,4746,670.5600000000001,792.48,1674647895.908,1674647895.908,1674644400,False
1674647897,39d228,43.46433477886652,5.174625941685267,52.46319989301453,318.1798301198642,4.8768,FHURI1,True,True,True,4746,678.1800000000001,800.1,1674647896.924,1674647896.924,1674644400,False
1674647898,39d228,43.46452331542969,5.174432798873547,52.80762021911262,317.7638573709125,4.8768,FHURI1,True,True,True,4746,678.1800000000001,800.1,1674647897.46,1674647897.5,1674644400,False
1674647899,39d228,43.46503306243379,5.173775809151786,53.18962873966916,318.1363583683326,4.8768,FHURI1,True,True,True,4746,685.8000000000001,807.72,1674647898.991,1674647898.991,1674644400,False
1674647900,39d228,43.4652099609375,5.173538562863373,53.53431909451865,317.7263109939063,4.8768,FHURI1,True,True,True,4746,685.8000000000001,807.72,1674647899.504,1674647899.822,1674644400,False
1674647901,39d228,43.46577789823888,5.172860281808036,53.88171620895088,317.3215305898327,4.8768,FHURI1,True,True,True,4746,693.4200000000001,815.34,1674647900.999,1674647900.999,1674644400,False
1674647902,39d228,43.4661037639036,5.172402518136161,53.88171620895088,317.3215305898327,4.55168,FHURI1,True,True,True,4746,701.0400000000001,822.96,1674647901.998,1674647901.998,1674644400,False
