time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1674917566,38353c,44.00922872252383,1.431100027901786,61.90879885078979,115.0744193418157,4.8768,FJJAO,True,True,True,7000,845.82,929.6400000000001,1674917565.816,1674917565.816,1674914400,False
1674917567,38353c,44.00907897949219,1.431480230287064,62.37514169064738,114.8741539141276,4.55168,FJJAO,True,True,True,7000,853.44,937.2600000000001,1674917566.414,1674917566.868,1674914400,False
1674917568,38353c,44.00871664790784,1.432473318917411,62.8148553113722,115.7256126433657,4.22656,FJJAO,True,True,True,7000,861.0600000000001,937.2600000000001,1674917567.838,1674917567.931,1674914400,False
1674917569,38353c,44.00862121582031,1.432885458303052,62.8148553113722,115.7256126433657,4.55168,FJJAO,True,True,True,7000,861.0600000000001,944.8800000000001,1674917568.329,1674917568.569,1674914400,False
1674917570,38353c,44.00829157889975,1.433792842980301,81.30012531592367,116.79775248603016,0.0,FJJAO,True,True,True,7000,864.8700000000001,944.8800000000001,1674917569.329,1674917569.569,1674914400,True
1674917571,38353c,44.00797181210275,1.434696742466518,63.05874842373895,115.1016087138234,3.90144,FJJAO,True,True,True,7000,868.6800000000001,944.8800000000001,1674917570.974,1674917570.974,1674914400,False
1674917572,38353c,44.00778560315148,1.435350690569196,63.05874842373895,115.1016087138234,4.55168,FJJAO,True,True,True,7000,876.3000000000001,952.5000000000001,1674917571.9,1674917571.975,1674914400,False
1674917573,38353c,44.00761413574219,1.435759788335756,63.05874842373895,115.1016087138234,4.22656,FJJAO,True,True,True,7000,876.3000000000001,960.1200000000001,1674917572.466,1674917572.605,1674914400,False
1674917574,38353c,44.00729639359945,1.4366944956543977,82.68378773293871,115.29641585877845,7.6200000000000045,FJJAO,True,True,True,7000,883.9200000000001,967.7400000000001,1674917573.466,1674917573.605,1674914400,True
1674917575,38353c,44.00694766287076,1.437639508928571,63.49997998043855,116.9802307182229,4.8768,FJJAO,True,True,True,7000,891.5400000000001,975.3600000000001,1674917574.913,1674917574.956,1674914400,False
