time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1674040829,38fcfb,50.94188108282574,4.393539428710938,39.20927342671659,141.9272181260092,4.8768,FPDAD,True,True,True,7000,335.28,228.6,1674040828.014,1674040828.89,1674039600,False
1674040830,38fcfb,50.94145202636719,4.394160090266047,39.45486997289374,140.2900812053713,4.8768,FPDAD,True,True,True,7000,335.28,228.6,1674040829.769,1674040829.878,1674039600,False
1674040831,38fcfb,50.94113159179688,4.39453125,40.07383377713253,138.1221304621157,4.55168,FPDAD,True,True,True,7000,342.9,236.22,1674040830.72,1674040830.951,1674039600,False
1674040832,38fcfb,50.94090270996094,4.394902409733953,41.10726258258217,135.5070290609148,4.8768,FPDAD,True,True,True,7000,342.9,236.22,1674040831.622,1674040831.839,1674039600,False
1674040833,38fcfb,50.94076382911811,4.3951416015625,41.46941986724347,135.0,4.55168,FPDAD,True,True,True,7000,342.9,228.6,1674040832.14,1674040832.403,1674039600,False
1674040834,38fcfb,50.94039141121557,4.395751953125,42.22203346429558,133.025065989118,4.8768,FPDAD,True,True,True,7000,358.14,243.84,1674040833.636,1674040833.891,1674039600,False
1674040835,38fcfb,50.94025175450211,4.395980834960938,42.97994126763414,132.0891621738322,4.22656,FPDAD,True,True,True,7000,358.14,243.84,1674040834.213,1674040834.807,1674039600,False
1674040836,38fcfb,50.93978623212394,4.396820068359375,43.32644802498409,132.5940294833547,3.2512,FPDAD,True,True,True,7000,358.14,243.84,1674040835.991,1674040835.991,1674039600,False
1674040837,38fcfb,50.93950691869703,4.39727783203125,44.4748664996587,131.248270929474,2.27584,FPDAD,True,True,True,7000,365.76,251.46,1674040836.951,1674040836.954,1674039600,False
1674040838,38fcfb,50.93926068028093,4.39775851307955,43.40594864053571,129.10896650786177,0.0,FPDAD,True,True,True,7000,365.76,251.46,1674040837.951,1674040837.954,1674039600,True
1674040839,38fcfb,50.93902587890625,4.398242847339527,45.64657872379625,129.9709264182145,0.32512,FPDAD,True,True,True,7000,365.76,251.46,1674040838.919,1674040838.919,1674039600,False
1674040840,38fcfb,50.93870544433594,4.398836702913852,46.83983663013183,128.758085652585,0.0,FPDAD,True,True,True,7000,365.76,251.46,1674040839.919,1674040839.946,1674039600,False
1674040841,38fcfb,50.9384765625,4.399356326541385,47.74084668414703,127.1168606832703,0.0,FPDAD,True,True,True,7000,365.76,251.46,1674040840.904,1674040840.991,1674039600,False
1674040842,38fcfb,50.93820190429688,4.39995018211571,48.51346030645978,124.1956054024608,0.0,FPDAD,True,True,True,7000,365.76,251.46,1674040841.933,1674040841.97,1674039600,False
1674040843,38fcfb,50.93801879882812,4.400469805743243,49.58450286806796,120.5559642755078,0.32512,FPDAD,True,True,True,7000,365.76,251.46,1674040842.828,1674040842.999,1674039600,False
1674040844,38fcfb,50.93778991699219,4.401137893264358,49.96731835178895,118.9400126928394,0.32512,FPDAD,True,True,True,7000,365.76,251.46,1674040843.903,1674040843.903,1674039600,False
1674040845,38fcfb,50.93765258789062,4.401509052998311,50.62766746732621,115.2630985044991,0.97536,FPDAD,True,True,True,7000,365.76,251.46,1674040844.45,1674040844.645,1674039600,False
1674040846,38fcfb,50.93741206799523,4.402542114257812,51.30273283907515,111.1612598168283,1.30048,FPDAD,True,True,True,7000,365.76,251.46,1674040845.951,1674040845.951,1674039600,False
