time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1674342309,3c438c,50.0376387773934,8.527469119510135,0.20523414265393555,67.59596015567341,,FR63,True,True,True,NaN,,,1674342308.831,1674342308.831,1674342000,False
1674342310,3c438c,50.03763948086099,8.527471776276084,0.20523414265393555,67.59596015567341,,FR63,True,True,True,NaN,,,1674342309.831,1674342309.831,1674342000,True
1674342311,3c438c,50.03764036780945,8.527475125988973,0.25876402257930703,67.59595937233445,,FR63,True,True,True,NaN,,,1674342310.831,1674342310.831,1674342000,True
1674342312,3c438c,50.03764132913197,8.527478756588243,0.28046238195594503,67.59595898879411,,FR63,True,True,True,NaN,,,1674342311.831,1674342311.831,1674342000,True
1674342313,3c438c,50.03764225572174,8.527482256013332,0.27032922291440603,67.59595873736384,,FR63,True,True,True,NaN,,,1674342312.831,1674342312.831,1674342000,True
1674342314,3c438c,50.037643038471955,8.52748521220368,0.22836454763101252,67.59595842007577,,FR63,True,True,True,NaN,,,1674342313.831,1674342313.831,1674342000,True
1674342315,3c438c,50.037643568275804,8.52748721309873,0.15456835777612649,67.59595883563537,,FR63,True,True,True,NaN,,,1674342314.831,1674342314.831,1674342000,True
1674342316,3c438c,50.03764373602648,8.52748784663792,0.04894065354400302,67.59595908254288,,FR63,True,True,True,NaN,,,1674342315.831,1674342315.831,1674342000,True
1674342317,3c438c,50.03764343261719,8.52748670076069,0.08851856584333367,67.59595919443362,,FR63,True,True,True,NaN,,,1674342316.854,1674342316.854,1674342000,False
1674342318,3c438c,50.0376432882743,8.527485917066814,0.0582262650421953,-106.00088239329331,,FR63,True,True,True,NaN,,,1674342317.854,1674342317.854,1674342000,True
1674342319,3c438c,50.03764324533472,8.527485082597648,0.059787696353716106,-94.58053567608115,,FR63,True,True,True,NaN,,,1674342318.854,1674342318.854,1674342000,True
1674342320,3c438c,50.03764328855825,8.527484204857348,0.06287108609880061,-85.61569460004462,,FR63,True,True,True,NaN,,,1674342319.854,1674342319.854,1674342000,True
1674342321,3c438c,50.03764340270471,8.52748329135007,0.06646471539616475,-78.99082929671519,,FR63,True,True,True,NaN,,,1674342320.854,1674342320.854,1674342000,True
1674342322,3c438c,50.0376435725339,8.527482349579966,0.06986074269690987,-74.31721135369533,,FR63,True,True,True,NaN,,,1674342321.854,1674342321.854,1674342000,True
1674342323,3c438c,50.03764378280563,8.52748138705119,0.07261007090155773,-71.21549072457064,,FR63,True,True,True,NaN,,,1674342322.854,1674342322.854,1674342000,True
1674342324,3c438c,50.037644018279735,8.527480411267891,0.07444570980679642,-69.40787239493447,,FR63,True,True,True,NaN,,,1674342323.854,1674342323.854,1674342000,True
1674342325,3c438c,50.03764426371601,8.527479429734232,0.07522505622076363,-68.72805881514286,,FR63,True,True,True,NaN,,,1674342324.854,1674342324.854,1674342000,True
