time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1674917582,4012b7,50.80467224121094,-0.2423673062711149,43.30200777595145,103.0456370629486,4.22656,GOPUK,True,True,True,NaN,609.6,579.12,1674917581.206,1674917581.206,1674914400,False
1674917583,4012b7,50.80462646484375,-0.2417734506967905,44.40340175102804,100.0079798014414,3.2512,GOPUK,True,True,True,NaN,609.6,784.86,1674917582.13,1674917582.36,1674914400,False
1674917584,4012b7,50.80458068847656,-0.2412538270692568,44.91010673161951,99.89392066973542,3.57632,GOPUK,True,True,True,NaN,609.6,784.86,1674917583.014,1674917583.89,1674914400,False
1674917585,4012b7,50.804496506513175,-0.2406372895111909,44.3247669685827,102.19140946648045,3.810000000000059,GOPUK,True,True,True,NaN,609.6,788.6700000000001,1674917584.014,1674917584.89,1674914400,True
1674917586,4012b7,50.80441232454979,-0.240020751953125,44.91010673161951,99.89392066973542,2.60096,GOPUK,True,True,True,NaN,609.6,792.48,1674917585.093,1674917585.849,1674914400,False
1674917587,4012b7,50.80435180664062,-0.2393237964527088,45.41698571554462,99.78240703180728,1.95072,GOPUK,True,True,True,NaN,609.6,792.48,1674917586.188,1674917586.83,1674914400,False
1674917588,4012b7,50.80422611559852,-0.2384185791015625,46.01327018467607,100.304846468766,1.30048,GOPUK,True,True,True,NaN,609.6,800.1,1674917587.704,1674917587.845,1674914400,False
1674917589,4012b7,50.80416870117188,-0.2377649255701044,46.01327018467607,100.304846468766,0.97536,GOPUK,True,True,True,NaN,609.6,800.1,1674917588.534,1674917588.534,1674914400,False
1674917590,4012b7,50.80413301112288,-0.2374267578125,47.11868955968432,100.6965107357781,0.0,GOPUK,True,True,True,NaN,609.6,800.1,1674917589.133,1674917589.55,1674914400,False
1674917591,4012b7,50.80398559570312,-0.2364287505278639,47.62429035372097,100.5816355209438,-0.32512,GOPUK,True,True,True,NaN,609.6,800.1,1674917590.658,1674917590.883,1674914400,False
1674917592,4012b7,50.80393981933594,-0.2358348949535412,47.62429035372097,100.5816355209438,-0.32512,GOPUK,True,True,True,NaN,609.6,800.1,1674917591.594,1674917591.594,1674914400,False
1674917593,4012b7,50.80384925625589,-0.23514132367484025,49.768497452236254,101.67355735664295,-3.810000000000059,GOPUK,True,True,True,NaN,609.6,796.29,1674917592.594,1674917592.594,1674914400,True
1674917594,4012b7,50.80376059322034,-0.2344512939453125,49.14219409902248,100.2511987508174,-0.65024,GOPUK,True,True,True,NaN,609.6,792.48,1674917593.559,1674917593.559,1674914400,False
1674917595,4012b7,50.80371404098252,-0.2339935302734375,49.14219409902248,100.2511987508174,-0.65024,GOPUK,True,True,True,NaN,609.6,792.48,1674917594.036,1674917594.036,1674914400,False
1674917596,4012b7,50.80357438426906,-0.233001708984375,50.75297074438785,100.5126271699213,-0.32512,GOPUK,True,True,True,NaN,609.6,792.48,1674917595.574,1674917595.574,1674914400,False
1674917597,4012b7,50.80350455591234,-0.2323150634765625,48.873450309507525,99.14108732154368,0.0,GOPUK,True,True,True,NaN,609.6,792.48,1674917596.574,1674917596.574,1674914400,True
1674917598,4012b7,50.80343472755561,-0.23162841796875,50.75297074438785,100.5126271699213,-0.32512,GOPUK,True,True,True,NaN,609.6,792.48,1674917597.494,1674917597.494,1674914400,False
1674917599,4012b7,50.80338817531779,-0.231170654296875,50.75297074438785,100.5126271699213,-0.32512,GOPUK,True,True,True,NaN,609.6,792.48,1674917598.087,1674917598.087,1674914400,False
1674917600,4012b7,50.80325201002218,-0.23008810507283783,77.5665698822589,101.25590917418482,0.0,GOPUK,True,True,True,NaN,609.6,792.48,1674917599.087,1674917599.087,1674914400,True
