time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1673617343,4494e8,50.87530517578125,4.600079510663007,24.11310486461236,123.6900675259798,1.30048,OOEGH,True,True,True,NaN,121.92,144.78,1673617342.996,1673617342.996,1673614800,False
1673617344,4494e8,50.87526483050847,4.6002197265625,24.11310486461236,123.6900675259798,1.30048,OOEGH,True,True,True,NaN,121.92,144.78,1673617343.442,1673617343.442,1673614800,False
1673617345,4494e8,50.87507835039316,4.6004172475761616,24.940776332062093,146.24225423615505,0.0,OOEGH,True,True,True,NaN,121.92,144.78,1673617344.442,1673617344.442,1673614800,True
1673617346,4494e8,50.87487929774321,4.600496843680242,22.827383968638497,165.83832366441925,0.0,OOEGH,True,True,True,NaN,121.92,144.78,1673617345.442,1673617345.442,1673614800,True
1673617347,4494e8,50.87467555398048,4.600488114652533,22.663550375421405,-178.45139492852735,0.0,OOEGH,True,True,True,NaN,121.92,144.78,1673617346.442,1673617346.442,1673614800,True
1673617348,4494e8,50.874475000526864,4.600420660270827,22.79725780340304,-168.01743612814374,0.0,OOEGH,True,True,True,NaN,121.92,144.78,1673617347.442,1673617347.442,1673614800,True
1673617349,4494e8,50.8742855188042,4.600324080312915,22.132403323874172,-162.17030033824835,0.0,OOEGH,True,True,True,NaN,121.92,144.78,1673617348.442,1673617348.442,1673614800,True
1673617350,4494e8,50.87411499023438,4.600227974556588,20.48753449807214,208.495638618245,2.27584,OOEGH,True,True,True,NaN,121.92,144.78,1673617349.984,1673617349.984,1673614800,False
1673617351,4494e8,50.87396136784957,4.600067138671875,20.27327139482447,215.7066914006029,2.92608,OOEGH,True,True,True,NaN,121.92,144.78,1673617350.892,1673617350.892,1673614800,False
1673617352,4494e8,50.87384075211909,4.599919936726957,16.928115973679475,-142.39931237849416,3.8100000000000023,OOEGH,True,True,True,NaN,121.92,148.59,1673617351.892,1673617351.892,1673614800,True
1673617353,4494e8,50.87372860666049,4.599761962890625,20.08968042136062,219.8055710922652,2.92608,OOEGH,True,True,True,NaN,121.92,152.4,1673617352.459,1673617352.459,1673614800,False
1673617354,4494e8,50.87358894994703,4.599609375,20.08968042136062,219.8055710922652,2.92608,OOEGH,True,True,True,NaN,121.92,152.4,1673617353.458,1673617353.458,1673614800,False
1673617355,4494e8,50.87342834472656,4.599337191195102,20.27327139482447,215.7066914006029,5.20192,OOEGH,True,True,True,NaN,152.4,129.54,1673617354.776,1673617354.776,1673614800,False
1673617356,4494e8,50.87324523925781,4.59918872730152,20.27327139482447,215.7066914006029,4.8768,OOEGH,True,True,True,NaN,152.4,167.64,1673617355.75,1673617355.75,1673614800,False
1673617357,4494e8,50.873011657574416,4.598985856539237,29.61824530069818,-151.27402172670008,-3.8100000000000023,OOEGH,True,True,True,NaN,160.02,163.82999999999998,1673617356.75,1673617356.75,1673614800,True
1673617358,4494e8,50.87293283339878,4.598854906637913,12.698524567445823,-133.64792945621133,-7.6200000000000045,OOEGH,True,True,True,NaN,167.64,160.01999999999998,1673617357.75,1673617357.75,1673614800,True
1673617359,4494e8,50.87285174057642,4.598729000184419,12.623795759964334,-135.5853783958315,-11.429999999999978,OOEGH,True,True,True,NaN,175.26,156.21,1673617358.75,1673617358.75,1673614800,True
1673617360,4494e8,50.87261135295286,4.598541259765625,20.83339414937086,212.9052429229879,2.92608,OOEGH,True,True,True,NaN,182.88,152.4,1673617359.869,1673617359.869,1673614800,False
1673617361,4494e8,50.8724716962394,4.598388671875,21.54531762366348,213.3106308245608,0.97536,OOEGH,True,True,True,NaN,182.88,182.88,1673617360.852,1673617360.852,1673614800,False
1673617362,4494e8,50.872311051512995,4.598225871408915,21.20334353528269,-147.4002928701331,0.0,OOEGH,True,True,True,NaN,167.64,182.88,1673617361.852,1673617361.852,1673614800,True
1673617363,4494e8,50.87214660644531,4.598075248099662,22.58871994988224,210.0685828218625,0.65024,OOEGH,True,True,True,NaN,152.4,182.88,1673617362.797,1673617362.797,1673614800,False
1673617364,4494e8,50.87192244925826,4.597886129431129,28.23770586973067,-151.96851135755173,0.0,OOEGH,True,True,True,NaN,162.56,182.88,1673617363.797,1673617363.797,1673614800,True
1673617365,4494e8,50.87185791314574,4.597738557145095,12.598657360926682,-124.72168832486945,0.0,OOEGH,True,True,True,NaN,172.72,182.88,1673617364.797,1673617364.797,1673614800,True
1673617366,4494e8,50.87163375595868,4.597549438476562,22.58871994988224,210.0685828218625,0.65024,OOEGH,True,True,True,NaN,182.88,182.88,1673617365.725,1673617365.725,1673614800,False
1673617367,4494e8,50.871283509664295,4.597329111429039,41.902139836252864,-158.3479226977551,1.9050000000000011,OOEGH,True,True,True,NaN,182.88,184.785,1673617366.725,1673617366.725,1673614800,True
1673617368,4494e8,50.87106831956597,4.597156656919412,26.81407294101382,-153.17239253467025,3.8100000000000023,OOEGH,True,True,True,NaN,182.88,186.69,1673617367.725,1673617367.725,1673614800,True
1673617369,4494e8,50.870944091471834,4.597013728525508,17.070585612361317,-144.01787834609698,5.715000000000003,OOEGH,True,True,True,NaN,182.88,188.595,1673617368.725,1673617368.725,1673614800,True
1673617370,4494e8,50.870866731190006,4.596881979825149,12.627998824544388,-132.93667979261815,7.6200000000000045,OOEGH,True,True,True,NaN,182.88,190.5,1673617369.725,1673617369.725,1673614800,True
1673617371,4494e8,50.870792144528636,4.596743064396158,12.7987271113761,-130.39141459632836,9.525000000000006,OOEGH,True,True,True,NaN,182.88,192.405,1673617370.725,1673617370.725,1673614800,True
1673617372,4494e8,50.87067623729585,4.596578635816358,17.29856081740907,-138.16334738569995,11.430000000000007,OOEGH,True,True,True,NaN,182.88,194.31,1673617371.725,1673617371.725,1673614800,True
1673617373,4494e8,50.870474915299766,4.596370347663573,26.735018515776073,-146.85896818772193,13.335000000000008,OOEGH,True,True,True,NaN,182.88,196.215,1673617372.725,1673617372.725,1673614800,True
1673617374,4494e8,50.87014408434852,4.596099853515625,25.7222,216.869897645844,0.65024,OOEGH,True,True,True,NaN,182.88,198.12,1673617373.625,1673617373.625,1673614800,False
1673617375,4494e8,50.86994934082031,4.595848289695946,25.7222,216.869897645844,0.65024,OOEGH,True,True,True,NaN,182.88,198.12,1673617374.844,1673617374.916,1673614800,False
1673617376,4494e8,50.86968162956743,4.595558058962014,36.06847878200201,-145.6211059523222,0.0,OOEGH,True,True,True,NaN,182.88,198.12,1673617375.844,1673617375.916,1673614800,True
1673617377,4494e8,50.8696409425024,4.5953483225451865,15.397625656018503,-107.0869639684612,0.0,OOEGH,True,True,True,NaN,182.88,198.12,1673617376.844,1673617376.916,1673614800,True
