time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1673010195,43ec6e,49.43760681152344,-2.64192280016448,54.56502614110984,278.130102354156,3.90144,2EGJB,True,True,True,NaN,281.94,342.9,1673010194.781,1673010194.781,1673010000,False
1673010196,43ec6e,49.43777113556259,-2.643020646858099,81.45802494871835,102.96199818817601,0.0,2EGJB,True,True,True,NaN,281.94,342.9,1673010195.781,1673010195.781,1673010000,True
1673010197,43ec6e,49.43794990867928,-2.644113115359787,81.45595131361561,104.12480399150515,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,343.17214285714283,1673010196.781,1673010196.781,1673010000,True
1673010198,43ec6e,49.438146411883594,-2.645198331663577,81.45380613397762,105.55987436827598,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,343.4442857142857,1673010197.781,1673010197.781,1673010000,True
1673010199,43ec6e,49.438364489617975,-2.6462737348017704,81.45188983210201,107.31977412524358,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,343.71642857142854,1673010198.781,1673010198.781,1673010000,True
1673010200,43ec6e,49.43860852041919,-2.647335860982695,81.45100030272937,109.45936749717124,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,343.9885714285714,1673010199.781,1673010199.781,1673010000,True
1673010201,43ec6e,49.43888462038737,-2.6483792262486925,81.44891806444102,112.14353744197167,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,344.26071428571424,1673010200.781,1673010200.781,1673010000,True
1673010202,43ec6e,49.439200484346394,-2.649395433817475,81.44002362677334,115.54766658160518,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,344.5328571428571,1673010201.781,1673010201.781,1673010000,True
1673010203,43ec6e,49.439558811317035,-2.650377527765008,81.4247102132777,119.29665511922757,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,344.80499999999995,1673010202.781,1673010202.781,1673010000,True
1673010204,43ec6e,49.43996343436138,-2.6513159947234373,81.41618846654397,123.54643011166034,0.13607142857145504,2EGJB,True,True,True,NaN,281.94,345.07714285714286,1673010203.781,1673010203.781,1673010000,True
1673010205,43ec6e,49.4404168234853,-2.652200295009483,81.42299048592264,128.2551208835501,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,345.3492857142857,1673010204.781,1673010204.781,1673010000,True
1673010206,43ec6e,49.44092749015444,-2.6530072990427276,81.41830098361051,134.22084550740064,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,345.62142857142857,1673010205.781,1673010205.781,1673010000,True
1673010207,43ec6e,49.44148322729543,-2.653740195963297,81.40378264433613,139.38630585036944,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,345.8935714285714,1673010206.781,1673010206.781,1673010000,True
1673010208,43ec6e,49.44207890560052,-2.6543949426775257,81.41400481634469,144.44646293619456,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,346.1657142857143,1673010207.781,1673010207.781,1673010000,True
1673010209,43ec6e,49.44271028907395,-2.654965384487029,81.4246074265652,149.5675408562893,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,346.4378571428571,1673010208.781,1673010208.781,1673010000,True
1673010210,43ec6e,49.443369262754594,-2.6554567184821694,81.43125586977605,154.13593595047075,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,346.71,1673010209.781,1673010209.781,1673010000,True
1673010211,43ec6e,49.444047511238026,-2.655881470364784,81.43020068704871,157.8445050958885,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,346.98214285714283,1673010210.781,1673010210.781,1673010000,True
1673010212,43ec6e,49.4447402131122,-2.656247074781913,81.43404297736181,161.05945432399562,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,347.2542857142857,1673010211.781,1673010211.781,1673010000,True
1673010213,43ec6e,49.44544354009669,-2.6565612876514164,81.43878846865942,163.8030031270164,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,347.52642857142854,1673010212.781,1673010212.781,1673010000,True
1673010214,43ec6e,49.446154578992264,-2.6568315869358345,81.44303512173565,166.1169553366944,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,347.7985714285714,1673010213.781,1673010213.781,1673010000,True
1673010215,43ec6e,49.446871183132906,-2.6570648017977705,81.44693007423639,168.05289627225235,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,348.07071428571425,1673010214.781,1673010214.781,1673010000,True
1673010216,43ec6e,49.44759180697946,-2.6572669290275757,81.45117623784805,169.66505461522874,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,348.3428571428571,1673010215.781,1673010215.781,1673010000,True
1673010217,43ec6e,49.44831535438918,-2.657443081733461,81.45637631177199,171.00572628085848,0.13607142857145504,2EGJB,True,True,True,NaN,281.94,348.615,1673010216.781,1673010216.781,1673010000,True
1673010218,43ec6e,49.44904144470071,-2.6575926150418328,81.45801215573363,172.37398825410372,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,348.88714285714286,1673010217.781,1673010217.781,1673010000,True
1673010219,43ec6e,49.44976911258724,-2.6577223692624554,81.45485214803891,173.38738933150674,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,349.1592857142857,1673010218.781,1673010218.781,1673010000,True
1673010220,43ec6e,49.450497827697276,-2.657837316305105,81.45436425664552,174.1448635309609,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,349.43142857142857,1673010219.781,1673010219.781,1673010000,True
1673010221,43ec6e,49.451227350786226,-2.6579398902944145,81.45744514401704,174.7772525855786,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,349.7035714285714,1673010220.781,1673010220.781,1673010000,True
1673010222,43ec6e,49.45195781409366,-2.6580252794329735,81.45801205261903,175.65419914474126,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,349.9757142857143,1673010221.781,1673010221.781,1673010000,True
1673010223,43ec6e,49.452688672383736,-2.658101873079654,81.456115604483,176.1025364757415,0.13607142857142662,2EGJB,True,True,True,NaN,281.94,350.24785714285713,1673010222.781,1673010222.781,1673010000,True
