time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1675174671,43c93f,51.05918884277344,-1.603855442356405,45.07480708640994,231.9529574681739,1.6256,CRNGE1,True,True,True,NaN,274.32,434.34,1675174670.721,1675174670.721,1675173600,False
1675174672,43c93f,51.05891418457031,-1.604449297930728,45.3178155044499,230.5275401516562,2.27584,CRNGE1,True,True,True,NaN,274.32,434.34,1675174671.848,1675174671.848,1675173600,False
1675174673,43c93f,51.05863409527277,-1.604995727539062,45.58856322154722,229.1181897039888,2.27584,CRNGE1,True,True,True,NaN,274.32,434.34,1675174672.909,1675174672.952,1675173600,False
1675174674,43c93f,51.05831909179688,-1.605562777132604,45.50721726264088,227.2906100426385,1.30048,CRNGE1,True,True,True,NaN,274.32,441.96,1675174674.0,1675174674.0,1675173600,False
1675174675,43c93f,51.05816857289459,-1.605758666992188,45.83462195853226,225.0,0.65024,CRNGE1,True,True,True,NaN,274.32,441.96,1675174674.548,1675174674.818,1675173600,False
1675174676,43c93f,51.05804443359375,-1.606008168813332,46.19982093019236,224.5488614532127,0.65024,CRNGE1,True,True,True,NaN,274.32,441.96,1675174675.1,1675174675.803,1675173600,False
1675174677,43c93f,51.05763890005575,-1.6065201314339708,57.56462932781696,-141.56816225382954,0.0,CRNGE1,True,True,True,NaN,274.32,441.96,1675174676.1,1675174676.803,1675173600,True
1675174678,43c93f,51.057534439788,-1.6068323812349343,24.721909589587092,-118.02407795636597,0.0,CRNGE1,True,True,True,NaN,274.32,441.96,1675174677.1,1675174677.803,1675173600,True
1675174679,43c93f,51.05712890625,-1.607344343855573,46.19982093019236,224.5488614532127,0.65024,CRNGE1,True,True,True,NaN,274.32,441.96,1675174678.016,1675174678.016,1675173600,False
1675174680,43c93f,51.056671142578125,-1.6079247964395056,65.09013454078038,-141.44455838672283,0.0,CRNGE1,True,True,True,NaN,274.32,441.96,1675174679.016,1675174679.016,1675173600,True
1675174681,43c93f,51.05621337890625,-1.608505249023438,46.19982093019236,224.5488614532127,0.65024,CRNGE1,True,True,True,NaN,274.32,441.96,1675174680.888,1675174680.888,1675173600,False
1675174682,43c93f,51.05589294433594,-1.608903214738177,46.19982093019236,224.5488614532127,0.65024,CRNGE1,True,True,True,NaN,274.32,441.96,1675174681.861,1675174681.861,1675173600,False
1675174683,43c93f,51.05535825519398,-1.6094889258504672,72.18535245107073,-145.45058838958195,2.5400000000000205,CRNGE1,True,True,True,NaN,279.4,444.5,1675174682.861,1675174682.861,1675173600,True
1675174684,43c93f,51.05509558178998,-1.6098825501096108,40.12494301818781,-136.7125688582278,5.079999999999984,CRNGE1,True,True,True,NaN,284.48,447.03999999999996,1675174683.861,1675174683.861,1675173600,True
1675174685,43c93f,51.054958322236864,-1.6101637872419654,24.886493460127642,-127.82745529080255,7.6200000000000045,CRNGE1,True,True,True,NaN,289.56,449.58,1675174684.861,1675174684.861,1675173600,True
