time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1674994769,3d2c14,47.94168090820312,8.51824951171875,41.64455160916261,207.1981279485091,3.2512,DEOYE,True,True,True,NaN,868.6800000000001,1005.84,1674994768.084,1674994768.664,1674993600,False
1674994770,3d2c14,47.94112383309057,8.517784705528845,41.64455160916261,207.1981279485091,3.2512,DEOYE,True,True,True,NaN,876.3000000000001,1005.84,1674994769.774,1674994769.774,1674993600,False
1674994771,3d2c14,47.940795416862414,8.517480045616788,42.99523146882137,-148.14148071160784,3.810000000000059,DEOYE,True,True,True,NaN,880.1100000000001,1009.6500000000001,1674994770.774,1674994770.774,1674993600,True
1674994772,3d2c14,47.94047210176112,8.51715087890625,41.73342727771128,210.3581154587666,2.92608,DEOYE,True,True,True,NaN,883.9200000000001,1013.46,1674994771.856,1674994771.856,1674993600,False
1674994773,3d2c14,47.9401462360964,8.516869178185095,41.99577503228514,210.9637565320735,3.90144,DEOYE,True,True,True,NaN,883.9200000000001,1021.08,1674994772.986,1674994772.986,1674993600,False
1674994774,3d2c14,47.93982037043167,8.516587477463942,41.99577503228514,210.9637565320735,3.2512,DEOYE,True,True,True,NaN,891.5400000000001,1021.08,1674994773.983,1674994773.983,1674993600,False
1674994775,3d2c14,47.93948364257812,8.516326904296875,42.43773251801373,210.6064070315095,2.92608,DEOYE,True,True,True,NaN,891.5400000000001,1021.08,1674994774.904,1674994774.904,1674993600,False
1674994776,3d2c14,47.93916863910222,8.516024076021633,42.70195094778504,211.2005146039806,1.95072,DEOYE,True,True,True,NaN,891.5400000000001,1021.08,1674994775.963,1674994775.963,1674993600,False
1674994777,3d2c14,47.93879622119968,8.515671950120192,42.70195094778504,211.2005146039806,1.95072,DEOYE,True,True,True,NaN,891.5400000000001,1021.08,1674994776.997,1674994776.997,1674993600,False
1674994778,3d2c14,47.9386324448219,8.515534251963118,20.901184306728034,-150.60945378266524,3.810000000000059,DEOYE,True,True,True,NaN,895.3500000000001,1024.89,1674994777.997,1674994777.997,1674993600,True
1674994779,3d2c14,47.93847035553495,8.515390249399038,43.52147592541356,212.9386905429555,2.60096,DEOYE,True,True,True,NaN,899.1600000000001,1028.7,1674994778.025,1674994778.759,1674993600,False
1674994780,3d2c14,47.93814448987023,8.515038123497595,43.80332819816321,213.5034369824142,1.95072,DEOYE,True,True,True,NaN,899.1600000000001,1028.7,1674994779.026,1674994779.62,1674993600,False
1674994781,3d2c14,47.93765258789062,8.514541625976562,43.66414479061446,214.4389893088036,1.6256,DEOYE,True,True,True,NaN,899.1600000000001,1036.32,1674994780.492,1674994780.731,1674993600,False
1674994782,3d2c14,47.93716689287606,8.514052170973557,43.37528720974449,213.8785398051096,2.60096,DEOYE,True,True,True,NaN,906.7800000000001,1043.94,1674994781.978,1674994781.978,1674993600,False
1674994783,3d2c14,47.93687438964844,8.513786315917969,42.94914230899053,214.2611028990945,4.55168,DEOYE,True,True,True,NaN,914.4000000000001,1051.56,1674994782.893,1674994782.893,1674993600,False
