time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1675006007,3d3606,47.65365600585938,9.599647521972656,59.08048345836977,286.6992442339936,0.32512,DESSC,True,True,True,2677,1402.08,1501.14,1675006006.682,1675006006.785,1675004400,False
1675006008,3d3606,47.65380342127913,9.598952073317307,59.08048345836977,286.6992442339936,0.32512,DESSC,True,True,True,2677,1402.08,1501.14,1675006007.614,1675006007.738,1675004400,False
1675006009,3d3606,47.65402221679688,9.597999572753906,59.08048345836977,286.6992442339936,0.32512,DESSC,True,True,True,2677,1402.08,1508.76,1675006008.974,1675006008.994,1675004400,False
1675006010,3d3606,47.65415954589844,9.597244262695312,58.58792196258474,286.8438085517274,0.32512,DESSC,True,True,True,2677,1409.7,1508.76,1675006009.969,1675006009.995,1675004400,False
1675006011,3d3606,47.65426894365731,9.5965576171875,58.44092897105658,286.3610774553463,0.32512,DESSC,True,True,True,2677,1409.7,1508.76,1675006010.854,1675006010.995,1675004400,False
1675006012,3d3606,47.65445515260858,9.595853365384615,58.44092897105658,286.3610774553463,0.0,DESSC,True,True,True,2677,1409.7,1508.76,1675006011.783,1675006011.989,1675004400,False
1675006013,3d3606,47.65459480932203,9.595078688401442,58.44092897105658,286.3610774553463,0.0,DESSC,True,True,True,2677,1409.7,1508.76,1675006012.815,1675006012.959,1675004400,False
1675006014,3d3606,47.65473446603549,9.594374436598557,58.44092897105658,286.3610774553463,0.0,DESSC,True,True,True,2677,1409.7,1508.76,1675006013.886,1675006013.999,1675004400,False
1675006015,3d3606,47.65487412274894,9.593599759615383,58.44092897105658,286.3610774553463,-0.32512,DESSC,True,True,True,2677,1409.7,1508.76,1675006014.848,1675006014.994,1675004400,False
1675006016,3d3606,47.65506033170021,9.592684232271633,57.94749829352056,286.504361381755,-0.65024,DESSC,True,True,True,2677,1409.7,1508.76,1675006015.976,1675006015.99,1675004400,False
1675006017,3d3606,47.65512084960938,9.592369079589844,58.44092897105658,286.3610774553463,-0.65024,DESSC,True,True,True,2677,1409.7,1508.76,1675006016.632,1675006016.837,1675004400,False
1675006018,3d3606,47.65530395507812,9.59161376953125,58.58792196258474,286.8438085517274,-0.65024,DESSC,True,True,True,2677,1402.08,1508.76,1675006017.529,1675006017.929,1675004400,False
1675006019,3d3606,47.65544128417969,9.590858459472656,58.58792196258474,286.8438085517274,-0.65024,DESSC,True,True,True,2677,1402.08,1501.14,1675006018.524,1675006018.639,1675004400,False
1675006020,3d3606,47.65567016601562,9.589828491210938,58.58792196258474,286.8438085517274,-0.65024,DESSC,True,True,True,2677,1402.08,1501.14,1675006019.912,1675006019.923,1675004400,False
1675006021,3d3606,47.65580749511719,9.589073181152344,58.09573976955116,286.9908232919861,-0.65024,DESSC,True,True,True,2677,1402.08,1501.14,1675006020.876,1675006020.986,1675004400,False
1675006022,3d3606,47.65599137645656,9.58824744591346,58.24814765744504,287.4747742562557,-0.65024,DESSC,True,True,True,2677,1402.08,1501.14,1675006021.984,1675006021.984,1675004400,False
1675006023,3d3606,47.6560844809322,9.587684044471153,58.24814765744504,287.4747742562557,-0.65024,DESSC,True,True,True,2677,1402.08,1501.14,1675006022.865,1675006022.986,1675004400,False
1675006024,3d3606,47.65627068988347,9.58690936748798,58.24814765744504,287.4747742562557,-0.65024,DESSC,True,True,True,2677,1402.08,1501.14,1675006023.769,1675006023.984,1675004400,False
1675006025,3d3606,47.65640258789062,9.586257934570312,58.24814765744504,287.4747742562557,0.0,DESSC,True,True,True,2677,1402.08,1501.14,1675006024.68,1675006024.976,1675004400,False
1675006026,3d3606,47.65653991699219,9.585502624511719,58.24814765744504,287.4747742562557,0.32512,DESSC,True,True,True,2677,1402.08,1501.14,1675006025.765,1675006025.903,1675004400,False
1675006027,3d3606,47.65673621226165,9.584726186899038,58.24814765744504,287.4747742562557,0.32512,DESSC,True,True,True,2677,1402.08,1501.14,1675006026.784,1675006026.995,1675004400,False
1675006028,3d3606,47.65687586897511,9.583951509915865,58.24814765744504,287.4747742562557,0.32512,DESSC,True,True,True,2677,1402.08,1501.14,1675006027.785,1675006027.999,1675004400,False
1675006029,3d3606,47.65701552568856,9.58324725811298,57.75765222253481,287.6280193678197,0.0,DESSC,True,True,True,2677,1402.08,1501.14,1675006028.831,1675006028.978,1675004400,False
1675006030,3d3606,47.65720173463983,9.582472581129807,57.75765222253481,287.6280193678197,-0.32512,DESSC,True,True,True,2677,1402.08,1501.14,1675006029.82,1675006029.991,1675004400,False
1675006031,3d3606,47.65731811523438,9.581863403320312,57.75765222253481,287.6280193678197,-0.32512,DESSC,True,True,True,2677,1402.08,1501.14,1675006030.756,1675006030.985,1675004400,False
1675006032,3d3606,47.65750122070312,9.580970764160156,57.75765222253481,287.6280193678197,-0.32512,DESSC,True,True,True,2677,1402.08,1501.14,1675006031.88,1675006031.993,1675004400,False
1675006033,3d3606,47.65768432617188,9.580215454101562,58.09573976955116,286.9908232919861,0.0,DESSC,True,True,True,2677,1402.08,1501.14,1675006032.917,1675006032.997,1675004400,False
1675006034,3d3606,47.65782165527344,9.579460144042969,58.09573976955116,286.9908232919861,0.0,DESSC,True,True,True,2677,1402.08,1501.14,1675006033.886,1675006033.995,1675004400,False
1675006035,3d3606,47.657958984375,9.578910827636719,58.09573976955116,286.9908232919861,0.0,DESSC,True,True,True,2677,1402.08,1501.14,1675006034.763,1675006034.85,1675004400,False
1675006036,3d3606,47.65813277939618,9.578106219951922,57.94749829352056,286.504361381755,0.32512,DESSC,True,True,True,2677,1402.08,1501.14,1675006035.884,1675006035.987,1675004400,False
1675006037,3d3606,47.65827243610964,9.57733154296875,57.8034552846281,286.0154396062657,0.65024,DESSC,True,True,True,2677,1402.08,1501.14,1675006036.806,1675006036.972,1675004400,False
1675006038,3d3606,47.65841209282309,9.576627291165865,57.8034552846281,286.0154396062657,0.65024,DESSC,True,True,True,2677,1402.08,1501.14,1675006037.867,1675006037.998,1675004400,False
1675006039,3d3606,47.65855407714844,9.575958251953125,57.30915395971014,286.1573398645879,0.65024,DESSC,True,True,True,2677,1402.08,1501.14,1675006038.776,1675006039.0,1675004400,False
1675006040,3d3606,47.65864485401218,9.575289212740383,57.16813200726838,285.662106345326,0.65024,DESSC,True,True,True,2677,1402.08,1501.14,1675006039.621,1675006039.998,1675004400,False
1675006041,3d3606,47.65882873535156,9.574310302734375,57.16813200726838,285.662106345326,0.32512,DESSC,True,True,True,2677,1402.08,1501.14,1675006040.985,1675006040.985,1675004400,False
1675006042,3d3606,47.6589707196769,9.57366943359375,57.16813200726838,285.662106345326,0.32512,DESSC,True,True,True,2677,1402.08,1501.14,1675006041.87,1675006041.952,1675004400,False
1675006043,3d3606,47.65910339355469,9.572868347167969,57.16813200726838,285.662106345326,0.32512,DESSC,True,True,True,2677,1402.08,1501.14,1675006042.894,1675006042.98,1675004400,False
1675006044,3d3606,47.65924072265625,9.572250366210938,57.16813200726838,285.662106345326,0.32512,DESSC,True,True,True,2677,1402.08,1501.14,1675006043.745,1675006043.996,1675004400,False
1675006045,3d3606,47.65937805175781,9.571563720703125,57.16813200726838,285.662106345326,0.0,DESSC,True,True,True,2677,1402.08,1501.14,1675006044.751,1675006044.981,1675004400,False
1675006046,3d3606,47.65952934653072,9.570711576021633,57.16813200726838,285.662106345326,0.0,DESSC,True,True,True,2677,1402.08,1501.14,1675006045.843,1675006045.986,1675004400,False
1675006047,3d3606,47.65965270996094,9.569915771484375,56.8152102660176,286.3017083443074,0.0,DESSC,True,True,True,2677,1402.08,1501.14,1675006046.903,1675006046.986,1675004400,False
1675006048,3d3606,47.65980865995763,9.569303072415865,56.8152102660176,286.3017083443074,0.0,DESSC,True,True,True,2677,1402.08,1501.14,1675006047.774,1675006047.898,1675004400,False
1675006049,3d3606,47.65992736816406,9.568611145019531,56.96175237128296,286.7983717813053,0.0,DESSC,True,True,True,2677,1402.08,1501.14,1675006048.764,1675006048.973,1675004400,False
1675006050,3d3606,47.66008797338453,9.567964993990383,57.11255250906932,287.2924493998777,0.0,DESSC,True,True,True,2677,1402.08,1501.14,1675006049.663,1675006049.99,1675004400,False
1675006051,3d3606,47.66022763009799,9.5672607421875,56.77793299782598,287.9424470891587,0.0,DESSC,True,True,True,2677,1402.08,1501.14,1675006050.633,1675006050.923,1675004400,False
1675006052,3d3606,47.66038513183594,9.566482543945312,56.93851690126816,288.434948822922,-0.32512,DESSC,True,True,True,2677,1402.08,1501.14,1675006051.685,1675006051.919,1675004400,False
