time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1672572600,3ffad4,50.53422546386719,8.58263517680921,38.69289240961901,144.1966558916289,1.30048,DMCTP,True,True,True,NaN,457.2,548.6400000000001,1672572599.826,1672572599.905,1672570800,False
1672572601,3ffad4,50.53390502929688,8.58306884765625,39.30365627097347,142.9801137451685,0.97536,DMCTP,True,True,True,NaN,457.2,548.6400000000001,1672572600.951,1672572600.951,1672570800,False
1672572602,3ffad4,50.53367614746094,8.583357961554276,39.93159263721396,141.8013148239816,1.30048,DMCTP,True,True,True,NaN,457.2,556.26,1672572601.967,1672572601.967,1672570800,False
1672572603,3ffad4,50.53338519597457,8.583736935177365,40.97506899614428,141.1155035662854,0.65024,DMCTP,True,True,True,NaN,457.2,556.26,1672572602.783,1672572602.953,1672570800,False
1672572604,3ffad4,50.5330810546875,8.58408074629934,41.62866098714355,140.0131137550358,0.97536,DMCTP,True,True,True,NaN,464.8200000000001,556.26,1672572603.748,1672572603.773,1672570800,False
1672572605,3ffad4,50.53278001688295,8.58447925464527,42.74840820643595,140.3709946955357,0.65024,DMCTP,True,True,True,NaN,464.8200000000001,563.8800000000001,1672572604.693,1672572604.869,1672570800,False
1672572606,3ffad4,50.53253173828125,8.584875809518914,42.74840820643595,140.3709946955357,1.30048,DMCTP,True,True,True,NaN,464.8200000000001,563.8800000000001,1672572605.715,1672572605.99,1672570800,False
1672572607,3ffad4,50.53222139002913,8.585221574113175,42.74840820643595,140.3709946955357,1.6256,DMCTP,True,True,True,NaN,464.8200000000001,563.8800000000001,1672572606.657,1672572606.742,1672570800,False
1672572608,3ffad4,50.53189086914062,8.585670872738486,43.07834996261617,139.8440003750807,1.95072,DMCTP,True,True,True,NaN,464.8200000000001,563.8800000000001,1672572607.777,1672572607.814,1672570800,False
1672572609,3ffad4,50.53157043457031,8.586176822060033,43.74891785989171,138.8140748342904,2.60096,DMCTP,True,True,True,NaN,472.44,571.5,1672572608.903,1672572608.995,1672570800,False
1672572610,3ffad4,50.53124379303495,8.586557749155405,43.70655187845008,137.8624052261117,2.60096,DMCTP,True,True,True,NaN,472.44,571.5,1672572609.933,1672572609.933,1672570800,False
1672572611,3ffad4,50.53097534179688,8.586971885279604,43.70655187845008,137.8624052261117,2.60096,DMCTP,True,True,True,NaN,480.06,571.5,1672572610.965,1672572610.965,1672570800,False
1672572612,3ffad4,50.53082482289459,8.58715160472973,43.70655187845008,137.8624052261117,2.60096,DMCTP,True,True,True,NaN,480.06,571.5,1672572611.633,1672572611.633,1672570800,False
1672572613,3ffad4,50.530517578125,8.587622391550164,45.11295510223022,135.9240453527727,2.60096,DMCTP,True,True,True,NaN,480.06,579.12,1672572612.678,1672572612.678,1672570800,False
1672572614,3ffad4,50.53028869628906,8.588056062397204,46.56215564041374,135.0,1.95072,DMCTP,True,True,True,NaN,480.06,579.12,1672572613.434,1672572613.984,1672570800,False
1672572615,3ffad4,50.52984722590042,8.58871047561233,46.56783915043067,135.8951737102111,1.95072,DMCTP,True,True,True,NaN,487.68,579.12,1672572614.83,1672572614.912,1672570800,False
1672572616,3ffad4,50.52964782714844,8.58899568256579,47.2896893222952,135.0,1.6256,DMCTP,True,True,True,NaN,487.68,586.74,1672572615.385,1672572615.769,1672570800,False
1672572617,3ffad4,50.5294189453125,8.589357074938322,48.01722300417666,135.0,1.30048,DMCTP,True,True,True,NaN,487.68,586.74,1672572616.396,1672572616.396,1672570800,False
1672572618,3ffad4,50.52891540527344,8.590079859683387,48.74475668605812,135.0,0.97536,DMCTP,True,True,True,NaN,487.68,586.74,1672572617.694,1672572617.936,1672570800,False
1672572619,3ffad4,50.52873229980469,8.590441252055921,49.47229036793959,135.0,0.97536,DMCTP,True,True,True,NaN,487.68,586.74,1672572618.656,1672572618.791,1672570800,False
1672572620,3ffad4,50.52840410652807,8.590937434016048,50.20509575622044,134.169684513742,0.32512,DMCTP,True,True,True,NaN,487.68,586.74,1672572619.565,1672572619.662,1672570800,False
1672572621,3ffad4,50.52809143066406,8.591453150699012,52.05044634261297,132.9974668681731,-0.32512,DMCTP,True,True,True,NaN,487.68,586.74,1672572620.517,1672572620.866,1672570800,False
1672572622,3ffad4,50.52767944335938,8.592175935444079,52.38747716907467,134.2042764472607,-0.65024,DMCTP,True,True,True,NaN,487.68,586.74,1672572621.741,1672572621.998,1672570800,False
1672572623,3ffad4,50.52745056152344,8.592537327816611,52.38747716907467,134.2042764472607,0.0,DMCTP,True,True,True,NaN,487.68,586.74,1672572622.617,1672572622.722,1672570800,False
1672572624,3ffad4,50.52710064386917,8.593090160472974,52.38747716907467,134.2042764472607,0.0,DMCTP,True,True,True,NaN,487.68,586.74,1672572623.505,1672572623.523,1672570800,False
1672572625,3ffad4,50.52676391601562,8.59362150493421,52.46319989301453,131.8201698801358,0.97536,DMCTP,True,True,True,NaN,487.68,586.74,1672572624.603,1672572624.891,1672570800,False
1672572626,3ffad4,50.52635192871094,8.594344289679276,51.78281991554682,130.9717363335149,2.27584,DMCTP,True,True,True,NaN,495.3,594.36,1672572625.894,1672572625.989,1672570800,False
1672572627,3ffad4,50.52607649463718,8.594871727195946,51.78281991554682,130.9717363335149,2.60096,DMCTP,True,True,True,NaN,495.3,601.98,1672572626.759,1672572626.81,1672570800,False
1672572628,3ffad4,50.5257568359375,8.595428466796875,51.39550458363471,131.3477772196937,3.57632,DMCTP,True,True,True,NaN,502.92,609.6,1672572627.737,1672572627.798,1672570800,False
1672572629,3ffad4,50.52547131554555,8.595985206397804,51.50866535922281,129.7323028719558,3.90144,DMCTP,True,True,True,NaN,502.92,609.6,1672572628.89,1672572628.918,1672570800,False
1672572630,3ffad4,50.52516174316406,8.596512643914473,51.50866535922281,129.7323028719558,3.90144,DMCTP,True,True,True,NaN,510.54,617.22,1672572629.739,1672572629.882,1672570800,False
1672572631,3ffad4,50.52486613645392,8.597098685599661,51.58054750295123,128.9275435927923,3.57632,DMCTP,True,True,True,NaN,510.54,609.6,1672572630.829,1672572630.974,1672570800,False
1672572632,3ffad4,50.52470397949219,8.597452264083058,51.90533464495225,129.3693172423648,3.57632,DMCTP,True,True,True,NaN,518.1600000000001,617.22,1672572631.331,1672572631.791,1672570800,False
1672572633,3ffad4,50.52438354492188,8.598030491879111,52.06823919501392,127.7756843059547,2.92608,DMCTP,True,True,True,NaN,518.1600000000001,617.22,1672572632.507,1672572632.844,1672570800,False
1672572634,3ffad4,50.52407474841102,8.598657556482264,52.16472306814589,126.9829069263447,2.92608,DMCTP,True,True,True,NaN,518.1600000000001,617.22,1672572633.515,1672572633.916,1672570800,False
1672572635,3ffad4,50.52374888274629,8.59939987595017,52.16472306814589,126.9829069263447,3.2512,DMCTP,True,True,True,NaN,525.78,624.8399999999999,1672572634.662,1672572634.905,1672570800,False
1672572636,3ffad4,50.5235161215572,8.599845267630911,52.16472306814589,126.9829069263447,3.2512,DMCTP,True,True,True,NaN,525.78,624.8399999999999,1672572635.649,1672572635.834,1672570800,False
1672572637,3ffad4,50.52319025589247,8.600587587098818,52.16472306814589,126.9829069263447,3.2512,DMCTP,True,True,True,NaN,533.4,640.0799999999999,1672572636.672,1672572636.82,1672570800,False
1672572638,3ffad4,50.52295749470339,8.60103297877956,51.96903001146818,125.735476014867,3.90144,DMCTP,True,True,True,NaN,533.4,632.46,1672572637.562,1672572637.701,1672570800,False
1672572639,3ffad4,50.52268981933594,8.601572137129933,51.96903001146818,125.735476014867,3.90144,DMCTP,True,True,True,NaN,541.02,647.7,1672572638.588,1672572638.996,1672570800,False
1672572640,3ffad4,50.52232360839844,8.602367200349505,52.09110678927266,124.9456644000057,3.90144,DMCTP,True,True,True,NaN,541.02,647.7,1672572639.925,1672572639.925,1672570800,False
1672572641,3ffad4,50.52214050292969,8.602800871196546,52.09110678927266,124.9456644000057,3.90144,DMCTP,True,True,True,NaN,548.64,655.3199999999999,1672572640.598,1672572640.882,1672570800,False
1672572642,3ffad4,50.52174713652013,8.60370532886402,51.50866535922281,124.0074924197323,4.22656,DMCTP,True,True,True,NaN,556.26,655.3199999999999,1672572641.996,1672572641.996,1672570800,False
1672572643,3ffad4,50.52165403204449,8.603928024704391,51.50866535922281,124.0074924197323,4.22656,DMCTP,True,True,True,NaN,556.26,662.94,1672572642.416,1672572642.824,1672570800,False
1672572644,3ffad4,50.52128161414195,8.60489304001267,51.37232735378252,122.7352262721076,4.22656,DMCTP,True,True,True,NaN,563.88,662.94,1672572643.986,1672572643.986,1672570800,False
1672572645,3ffad4,50.52113342285156,8.605186060855262,51.53178126894726,121.9447527762034,4.22656,DMCTP,True,True,True,NaN,563.88,670.56,1672572644.558,1672572644.907,1672570800,False
1672572646,3ffad4,50.52076953952595,8.606154983108109,52.1418877594025,120.8668094511371,4.22656,DMCTP,True,True,True,NaN,571.5,678.1800000000001,1672572646.0,1672572646.0,1672570800,False
1672572647,3ffad4,50.52067643505031,8.60645191089527,52.32429118881516,120.094241476445,4.22656,DMCTP,True,True,True,NaN,571.5,678.1800000000001,1672572646.453,1672572646.785,1672570800,False
1672572648,3ffad4,50.52030401714777,8.607416926203548,52.26609262171596,118.8355008477431,3.57632,DMCTP,True,True,True,NaN,579.12,685.8,1672572647.945,1672572647.991,1672570800,False
1672572649,3ffad4,50.52008056640625,8.608077199835526,52.96525152249917,119.0546040990771,2.92608,DMCTP,True,True,True,NaN,579.12,685.8,1672572648.899,1672572648.968,1672570800,False
