time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1672744198,3ff8ce,48.65744018554688,9.599938025841345,76.79703015283704,259.9697866802671,-0.32512,DMKTC,True,True,True,0574,800.1,,1672744197.644,1672744197.803,1672743600,False
1672744199,3ff8ce,48.65733001191737,9.598942806846216,75.16694073477025,258.1517337615855,-0.32512,DMKTC,True,True,True,0574,800.1,,1672744198.626,1672744198.648,1672743600,False
1672744200,3ff8ce,48.657179512347476,9.597856509681792,81.5258214394684,-101.84488524831256,,DMKTC,True,True,True,0574,800.1,,1672744199.626,1672744199.648,1672743600,True
1672744201,3ff8ce,48.65702819824219,9.596768892728365,74.66353179511871,258.0706778227616,-0.32512,DMKTC,True,True,True,0574,800.1,,1672744200.662,1672744200.662,1672743600,False
1672744202,3ff8ce,48.65691035986231,9.595953343405883,61.31967564760955,-102.33802237627262,,DMKTC,True,True,True,0574,800.1,,1672744201.662,1672744201.662,1672743600,True
1672744203,3ff8ce,48.65679931640625,9.59514911358173,75.46737426866474,258.9964591482505,-0.32512,DMKTC,True,True,True,0574,800.1,,1672744202.264,1672744202.859,1672743600,False
1672744204,3ff8ce,48.65664394415426,9.593995231134297,86.49780431641366,-101.52100767647322,,DMKTC,True,True,True,0574,800.1,,1672744203.264,1672744203.859,1672743600,True
1672744205,3ff8ce,48.65647888183594,9.59282508263221,74.66353179511871,258.0706778227616,-0.32512,DMKTC,True,True,True,0574,800.1,,1672744204.799,1672744204.799,1672743600,False
1672744206,3ff8ce,48.65639263222867,9.59212589689908,52.24462926316476,-100.57747817232442,,DMKTC,True,True,True,0574,800.1,,1672744205.799,1672744205.799,1672743600,True
1672744207,3ff8ce,48.65630586268538,9.591425845497533,74.16027431229753,257.9885216136345,-0.32512,DMKTC,True,True,True,0574,800.1,,1672744206.283,1672744206.283,1672743600,False
1672744208,3ff8ce,48.65616307861869,9.590328945747647,82.11958672958694,-101.14725806997139,,DMKTC,True,True,True,0574,800.1,,1672744207.283,1672744207.283,1672743600,True
1672744209,3ff8ce,48.65602111816406,9.5892333984375,74.66353179511871,258.0706778227616,-0.32512,DMKTC,True,True,True,4452,800.1,,1672744208.345,1672744208.504,1672743600,False
1672744210,3ff8ce,48.655860900878906,9.58807138296274,87.19301010580737,-101.78930850471164,,DMKTC,True,True,True,4452,800.1,,1672744209.345,1672744209.504,1672743600,True
1672744211,3ff8ce,48.65570068359375,9.58690936748798,74.66353179511871,258.0706778227616,-0.32512,DMKTC,True,True,True,4452,800.1,,1672744210.741,1672744210.784,1672743600,False
1672744212,3ff8ce,48.65556335449219,9.586134690504807,74.66353179511871,258.0706778227616,-0.32512,DMKTC,True,True,True,4452,800.1,,1672744211.603,1672744211.639,1672743600,False
1672744213,3ff8ce,48.65546792240466,9.58513761821546,73.6571713907614,257.9052429229879,-0.32512,DMKTC,True,True,True,4452,800.1,,1672744212.62,1672744212.64,1672743600,False
1672744214,3ff8ce,48.65533447265625,9.58416278545673,73.6571713907614,257.9052429229879,-0.32512,DMKTC,True,True,True,4452,800.1,,1672744213.621,1672744213.632,1672743600,False
1672744215,3ff8ce,48.65518860897775,9.583186099403783,73.15422621939936,257.8208189474759,-0.32512,DMKTC,True,True,True,4452,807.72,,1672744214.499,1672744214.911,1672743600,False
1672744216,3ff8ce,48.65501403808594,9.58183875450721,73.15422621939936,257.8208189474759,-0.32512,DMKTC,True,True,True,4452,807.72,,1672744215.984,1672744215.984,1672743600,False
1672744217,3ff8ce,48.65495584778866,9.581234580592104,72.54390071101334,258.1322681024339,-0.32512,DMKTC,True,True,True,4452,807.72,,1672744216.568,1672744216.934,1672743600,False
1672744218,3ff8ce,48.65483093261719,9.580289400540865,72.54390071101334,258.1322681024339,-0.32512,DMKTC,True,True,True,4452,807.72,,1672744217.611,1672744217.883,1672743600,False
1672744219,3ff8ce,48.65467653436176,9.579283061780426,72.54390071101334,258.1322681024339,-0.32512,DMKTC,True,True,True,4452,807.72,,1672744218.593,1672744218.82,1672743600,False
1672744220,3ff8ce,48.6545368776483,9.578126606188322,72.04053065710275,258.0481248699753,-0.32512,DMKTC,True,True,True,4452,807.72,,1672744219.686,1672744219.85,1672743600,False
1672744221,3ff8ce,48.6544189453125,9.577190692608172,72.04053065710275,258.0481248699753,-0.32512,DMKTC,True,True,True,4452,815.34,,1672744220.723,1672744220.942,1672743600,False
1672744222,3ff8ce,48.65430411645922,9.57624736585115,71.83451094629746,258.8510103035582,-0.32512,DMKTC,True,True,True,4452,815.34,,1672744221.706,1672744221.925,1672743600,False
1672744223,3ff8ce,48.65421101198358,9.575452302631579,71.83451094629746,258.8510103035582,-0.32512,DMKTC,True,True,True,4452,815.34,,1672744222.53,1672744222.956,1672743600,False
1672744224,3ff8ce,48.65407135527013,9.57436812551398,71.83451094629746,258.8510103035582,-0.32512,DMKTC,True,True,True,4452,815.34,,1672744223.843,1672744223.929,1672743600,False
1672744225,3ff8ce,48.65391540527344,9.573387732872595,71.32984505198088,258.7711081784612,-0.32512,DMKTC,True,True,True,4452,815.34,,1672744224.819,1672744224.967,1672743600,False
1672744226,3ff8ce,48.65377807617188,9.57226092998798,71.32984505198088,258.7711081784612,-0.32512,DMKTC,True,True,True,4452,815.34,,1672744225.912,1672744225.921,1672743600,False
1672744227,3ff8ce,48.6537454896054,9.57162154348273,71.2314551711208,259.1769887737929,-0.32512,DMKTC,True,True,True,4452,807.72,,1672744226.512,1672744226.949,1672743600,False
1672744228,3ff8ce,48.65354919433594,9.570359450120192,71.2314551711208,259.1769887737929,-0.32512,DMKTC,True,True,True,4452,815.34,,1672744227.933,1672744227.933,1672743600,False
1672744229,3ff8ce,48.65346617617849,9.569380910773026,71.2314551711208,259.1769887737929,-0.32512,DMKTC,True,True,True,4452,815.34,,1672744228.956,1672744228.997,1672743600,False
1672744230,3ff8ce,48.65336608886719,9.568810096153845,71.2314551711208,259.1769887737929,-0.32512,DMKTC,True,True,True,4452,815.34,,1672744229.492,1672744229.939,1672743600,False
1672744231,3ff8ce,48.65327996722722,9.567863062808387,71.2314551711208,259.1769887737929,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744230.527,1672744230.822,1672743600,False
1672744232,3ff8ce,48.65313720703125,9.566908616286057,71.2314551711208,259.1769887737929,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744231.592,1672744231.766,1672743600,False
1672744233,3ff8ce,48.65300065380031,9.565550151624176,71.2314551711208,259.1769887737929,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744232.9,1672744232.99,1672743600,False
1672744234,3ff8ce,48.65286254882812,9.564584585336538,71.2314551711208,259.1769887737929,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744233.963,1672744233.99,1672743600,False
1672744235,3ff8ce,48.65281677246094,9.564232459435095,71.2314551711208,259.1769887737929,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744234.391,1672744234.831,1672743600,False
1672744236,3ff8ce,48.65267478813559,9.562875848067433,71.2314551711208,259.1769887737929,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744235.744,1672744235.967,1672743600,False
1672744237,3ff8ce,48.652587890625,9.561908428485577,71.55211464824725,260.0636100565716,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744236.717,1672744236.989,1672743600,False
1672744238,3ff8ce,48.6524420269465,9.560996607730262,71.55211464824725,260.0636100565716,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744237.708,1672744237.976,1672743600,False
1672744239,3ff8ce,48.65230237023305,9.559840152138158,71.55211464824725,260.0636100565716,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744238.92,1672744238.991,1672743600,False
1672744240,3ff8ce,48.65225581799523,9.55911736739309,71.55211464824725,260.0636100565716,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744239.747,1672744239.79,1672743600,False
1672744241,3ff8ce,48.65213012695312,9.55810546875,71.2314551711208,259.1769887737929,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744240.774,1672744240.861,1672743600,False
1672744242,3ff8ce,48.65202305680614,9.557165848581414,71.55211464824725,260.0636100565716,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744241.866,1672744241.963,1672743600,False
1672744243,3ff8ce,48.65190124511719,9.55620398888221,71.55211464824725,260.0636100565716,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744242.794,1672744242.89,1672743600,False
1672744244,3ff8ce,48.65179029561705,9.555214329769736,71.55211464824725,260.0636100565716,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744243.759,1672744243.998,1672743600,False
1672744245,3ff8ce,48.65171813964844,9.554302509014422,71.55211464824725,260.0636100565716,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744244.752,1672744244.851,1672743600,False
1672744246,3ff8ce,48.65160408666578,9.553335089432565,72.0588966308,260.1341930569156,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744245.726,1672744245.783,1672743600,False
1672744247,3ff8ce,48.65153503417969,9.552330603966345,71.88975268957188,260.9421118713823,-0.32512,DMKTC,True,True,True,4452,822.96,,1672744246.72,1672744246.788,1672743600,False
