time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1674224362,3ff63d,47.912841796875,7.590591430664062,35.01621953876644,10.15426658020026,-0.32512,DMSZR,True,True,True,NaN,502.92,548.64,1674224361.87,1674224361.87,1674223200,False
1674224363,3ff63d,47.91306369587526,7.590684744027945,25.63541866509023,15.740904485591395,0.0,DMSZR,True,True,True,NaN,502.92,548.64,1674224362.87,1674224362.87,1674223200,True
1674224364,3ff63d,47.91328559487552,7.590778057391827,35.01621953876644,10.15426658020026,-0.32512,DMSZR,True,True,True,NaN,502.92,548.64,1674224363.335,1674224363.884,1674223200,False
1674224365,3ff63d,47.91371154785156,7.590866088867188,35.01621953876644,10.15426658020026,-0.32512,DMSZR,True,True,True,NaN,502.92,548.64,1674224364.935,1674224364.935,1674223200,False
1674224366,3ff63d,47.91400304161569,7.590928971832178,32.74968941294228,8.227363610402474,0.0,DMSZR,True,True,True,NaN,502.92,548.64,1674224365.935,1674224365.935,1674223200,True
1674224367,3ff63d,47.91428980506399,7.5910091995545415,32.44238740733529,10.620388907502814,0.0,DMSZR,True,True,True,NaN,502.92,548.64,1674224366.935,1674224366.935,1674223200,True
1674224368,3ff63d,47.91458129882812,7.591072082519531,35.01621953876644,10.15426658020026,-0.32512,DMSZR,True,True,True,NaN,502.92,548.64,1674224367.661,1674224367.661,1674223200,False
1674224369,3ff63d,47.91491964280674,7.591138451005966,37.94588456749307,7.48976985930469,0.0,DMSZR,True,True,True,NaN,502.92,548.64,1674224368.661,1674224368.661,1674223200,True
1674224370,3ff63d,47.91525609990037,7.591213202271856,37.824821930008945,8.469450984067137,0.0,DMSZR,True,True,True,NaN,502.92,548.64,1674224369.661,1674224369.661,1674223200,True
1674224371,3ff63d,47.915586051294355,7.591312408447266,37.42645622216822,11.393417842509226,0.0,DMSZR,True,True,True,NaN,502.92,548.64,1674224370.661,1674224370.661,1674223200,True
1674224372,3ff63d,47.91591600268834,7.591411614622674,37.42644690865362,11.39334708902063,0.0,DMSZR,True,True,True,NaN,502.92,548.64,1674224371.661,1674224371.661,1674223200,True
1674224373,3ff63d,47.91625245978197,7.5914863658885645,37.82480613060161,8.46929026080131,0.0,DMSZR,True,True,True,NaN,502.92,548.64,1674224372.661,1674224372.661,1674223200,True
1674224374,3ff63d,47.91659080376059,7.591552734374999,35.01621953876644,10.15426658020026,-0.32512,DMSZR,True,True,True,NaN,502.92,548.64,1674224373.875,1674224373.875,1674223200,False
1674224375,3ff63d,47.91685515957662,7.591605364034283,29.65553824642189,7.600050487747362,15095.220000000008,DMSZR,True,True,True,NaN,-14592.300000000008,15643.860000000008,1674224374.875,1674224374.875,1674223200,True
1674224376,3ff63d,47.917117282726686,7.5916677014573155,29.514666662257014,9.05599018870819,15095.220000000008,DMSZR,True,True,True,NaN,-14592.300000000008,15643.860000000008,1674224375.875,1674224375.875,1674223200,True
1674224377,3ff63d,47.917381671318466,7.591719297120004,29.649053841724342,7.451441405323173,15095.220000000008,DMSZR,True,True,True,NaN,-14592.300000000008,15643.860000000008,1674224376.875,1674224376.875,1674223200,True
1674224378,3ff63d,47.91764831542969,7.591758728027344,35.28725860824102,7.539445139509308,-0.32512,DMSZR,True,True,True,NaN,495.3,556.26,1674224377.188,1674224377.188,1674223200,False
1674224379,3ff63d,47.918060302734375,7.591827392578125,46.09579705056207,6.373449855609782,0.0,DMSZR,True,True,True,NaN,495.3,556.26,1674224378.188,1674224378.188,1674223200,True
1674224380,3ff63d,47.91847229003906,7.591896057128906,35.28725860824102,7.539445139509308,-0.32512,DMSZR,True,True,True,NaN,495.3,556.26,1674224379.734,1674224379.734,1674223200,False
1674224381,3ff63d,47.918701171875,7.5919647216796875,25.95980113002235,11.368059533018133,0.0,DMSZR,True,True,True,NaN,495.3,556.26,1674224380.734,1674224380.734,1674223200,True
1674224382,3ff63d,47.91893005371094,7.592033386230469,35.28725860824102,7.539445139509308,-0.32512,DMSZR,True,True,True,NaN,495.3,556.26,1674224381.174,1674224381.174,1674223200,False
1674224383,3ff63d,47.9192768963165,7.592083225168595,38.74555604660369,5.500615741108751,-30190.440000000017,DMSZR,True,True,True,NaN,495.3,-29634.18000000002,1674224382.174,1674224382.174,1674223200,True
1674224384,3ff63d,47.919623061209656,7.592137305453729,38.702177437282316,5.977034186591176,-30190.440000000017,DMSZR,True,True,True,NaN,495.3,-29634.18000000002,1674224383.174,1674224383.174,1674223200,True
1674224385,3ff63d,47.91996719775321,7.592202982731869,38.5779539777461,7.288517104200042,-30190.440000000017,DMSZR,True,True,True,NaN,495.3,-29634.18000000002,1674224384.174,1674224384.174,1674223200,True
1674224386,3ff63d,47.92031051321069,7.592272642871531,38.52625559999199,7.743527796176771,-30190.440000000017,DMSZR,True,True,True,NaN,495.3,-29634.18000000002,1674224385.174,1674224385.174,1674223200,True
1674224387,3ff63d,47.920657967736155,7.592317142738091,38.77722858785132,4.905668396153314,-30190.440000000017,DMSZR,True,True,True,NaN,495.3,-29634.18000000002,1674224386.174,1674224386.174,1674223200,True
1674224388,3ff63d,47.92100691049071,7.592348785287803,38.87224473386222,3.477611835952696,-30190.440000000017,DMSZR,True,True,True,NaN,495.3,-29634.18000000002,1674224387.174,1674224387.174,1674223200,True
1674224389,3ff63d,47.92135620117188,7.592376708984375,35.58971035348414,4.144623741104295,-0.32512,DMSZR,True,True,True,NaN,495.3,541.02,1674224388.728,1674224388.729,1674223200,False
1674224390,3ff63d,47.92149353027344,7.592376708984375,35.58971035348414,4.144623741104295,-0.32512,DMSZR,True,True,True,NaN,495.3,548.64,1674224389.229,1674224389.229,1674223200,False
1674224391,3ff63d,47.92194431110964,7.592397836538461,35.04266255853057,3.366460663429801,-0.32512,DMSZR,True,True,True,NaN,502.92,541.02,1674224390.742,1674224390.742,1674223200,False
1674224392,3ff63d,47.92227172851562,7.592445373535156,35.04266255853057,3.366460663429801,-0.32512,DMSZR,True,True,True,NaN,495.3,548.64,1674224391.594,1674224391.594,1674223200,False
1674224393,3ff63d,47.92247796796395,7.592478230940771,23.06311033149831,6.094032343921829,0.0,DMSZR,True,True,True,NaN,495.3,548.64,1674224392.594,1674224392.594,1674223200,True
1674224394,3ff63d,47.92268371582031,7.592514038085938,35.0766314353768,4.205357001708587,-0.32512,DMSZR,True,True,True,NaN,495.3,548.64,1674224393.046,1674224393.046,1674223200,False
1674224395,3ff63d,47.92295837402344,7.592582702636719,35.22345135544738,6.709836807756933,-0.32512,DMSZR,True,True,True,NaN,502.92,548.64,1674224394.028,1674224394.863,1674223200,False
1674224396,3ff63d,47.92362019167108,7.592679537259615,35.22345135544738,6.709836807756933,-0.32512,DMSZR,True,True,True,NaN,495.3,548.64,1674224395.887,1674224395.887,1674223200,False
1674224397,3ff63d,47.923828125,7.592788696289062,35.28725860824102,7.539445139509308,-0.32512,DMSZR,True,True,True,NaN,495.3,548.64,1674224396.487,1674224396.487,1674223200,False
1674224398,3ff63d,47.9241943359375,7.592857360839844,35.43694012256589,9.18883607735876,-0.32512,DMSZR,True,True,True,NaN,495.3,548.64,1674224397.942,1674224397.942,1674223200,False
1674224399,3ff63d,47.92455123642743,7.592961237980768,35.52272140082243,10.00797980144134,-0.32512,DMSZR,True,True,True,NaN,495.3,548.64,1674224398.917,1674224398.917,1674223200,False
1674224400,3ff63d,47.92476072149761,7.592996450570912,23.440981326519744,6.426644495993212,0.0,DMSZR,True,True,True,NaN,495.3,548.64,1674224399.917,1674224399.917,1674223200,True
1674224401,3ff63d,47.92497020656779,7.593031663161057,35.52272140082243,10.00797980144134,-0.32512,DMSZR,True,True,True,NaN,495.3,548.64,1674224400.317,1674224400.317,1674223200,False
1674224402,3ff63d,47.92534490416839,7.593119814210162,42.17903185873031,8.958764188629614,0.0,DMSZR,True,True,True,NaN,15590.520000000008,548.64,1674224401.317,1674224401.317,1674223200,True
1674224403,3ff63d,47.92571021074184,7.593236867550467,41.546039339033044,12.118253625871294,0.0,DMSZR,True,True,True,NaN,15590.520000000008,548.64,1674224402.317,1674224402.317,1674223200,True
1674224404,3ff63d,47.92608746027542,7.593313363882211,35.35843633474851,8.36588612403259,-0.32512,DMSZR,True,True,True,NaN,502.92,548.64,1674224403.758,1674224403.936,1674223200,False
1674224405,3ff63d,47.92636677370233,7.593383789062499,34.84954684217722,8.488943880504715,-0.32512,DMSZR,True,True,True,NaN,502.92,548.64,1674224404.746,1674224404.967,1674223200,False
1674224406,3ff63d,47.92662048339844,7.593406677246094,34.84954684217722,8.488943880504715,-0.32512,DMSZR,True,True,True,NaN,502.92,548.64,1674224405.437,1674224405.437,1674223200,False
1674224407,3ff63d,47.92693843139149,7.59349007769538,35.89617042142193,9.968881804549172,0.0,DMSZR,True,True,True,NaN,502.92,548.64,1674224406.437,1674224406.437,1674223200,True
1674224408,3ff63d,47.92722568623639,7.5936416244385105,33.878396036821506,19.4690165499289,0.0,DMSZR,True,True,True,NaN,502.92,548.64,1674224407.437,1674224407.437,1674223200,True
1674224409,3ff63d,47.92753601074219,7.59375,34.81915699829644,12.80426606528675,-0.32512,DMSZR,True,True,True,NaN,502.92,548.64,1674224408.63,1674224408.831,1674223200,False
1674224410,3ff63d,47.92762756347656,7.59375,35.06153821977467,14.44403572449223,-0.32512,DMSZR,True,True,True,NaN,502.92,548.64,1674224409.15,1674224409.932,1674223200,False
1674224411,3ff63d,47.92799610202595,7.593947190504807,35.06153821977467,14.44403572449223,-0.32512,DMSZR,True,True,True,NaN,502.92,548.64,1674224410.082,1674224410.082,1674223200,False
1674224412,3ff63d,47.92831420898438,7.594093322753906,35.06153821977467,14.44403572449223,-0.32512,DMSZR,True,True,True,NaN,502.92,548.64,1674224411.102,1674224411.102,1674223200,False
1674224413,3ff63d,47.92878749006886,7.594299316406249,35.4705314157054,19.48612957246576,-0.32512,DMSZR,True,True,True,NaN,502.92,548.64,1674224412.572,1674224412.712,1674223200,False
