time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1673705817,3808fd,43.34651184082031,0.5437593681867733,44.71817601100939,23.02549200852803,2.60096,FJGSP,True,True,True,NaN,342.9,426.72,1673705816.869,1673705816.935,1673704800,False
1673705818,3808fd,43.346923828125,0.5440148641896803,46.06213333947215,20.25646217452312,1.95072,FJGSP,True,True,True,NaN,342.9,426.72,1673705817.925,1673705817.925,1673704800,False
1673705819,3808fd,43.34706969180349,0.5440848214285714,46.68986727538677,18.63458487744639,1.30048,FJGSP,True,True,True,NaN,342.9,426.72,1673705818.399,1673705818.827,1673704800,False
1673705820,3808fd,43.34748866194386,0.544281005859375,47.01747984710589,17.84020430770351,0.97536,FJGSP,True,True,True,NaN,342.9,426.72,1673705819.344,1673705819.344,1673704800,False
1673705821,3808fd,43.34811401367188,0.5444619821947675,47.42939328787583,12.52880770915151,0.0,FJGSP,True,True,True,NaN,342.9,434.34,1673705820.841,1673705820.841,1673704800,False
1673705822,3808fd,43.34860591565148,0.5445425851004464,47.42939328787583,12.52880770915151,0.0,FJGSP,True,True,True,NaN,350.52,434.34,1673705821.949,1673705821.949,1673704800,False
1673705823,3808fd,43.348849470255274,0.5445261442003849,27.11464573995005,-2.810282499822972,7.6200000000000045,FJGSP,True,True,True,NaN,354.33,441.96,1673705822.949,1673705822.949,1673704800,True
1673705824,3808fd,43.34916454250529,0.5444771902901786,46.29424360266974,345.1916229609576,3.90144,FJGSP,True,True,True,NaN,358.14,449.58,1673705823.429,1673705823.956,1673704800,False
1673705825,3808fd,43.34967683169532,0.5442103604501095,60.913027500088276,-20.74448595390276,0.0,FJGSP,True,True,True,NaN,363.855,449.58,1673705824.429,1673705824.956,1673704800,True
1673705826,3808fd,43.34989812818624,0.5438627832355689,37.3546603822378,-48.79595435775695,0.0,FJGSP,True,True,True,NaN,369.57,449.58,1673705825.429,1673705825.956,1673704800,True
1673705827,3808fd,43.35011942467716,0.5435152060210284,37.35458328668818,-48.79585082080172,0.0,FJGSP,True,True,True,NaN,375.28499999999997,449.58,1673705826.429,1673705826.956,1673704800,True
1673705828,3808fd,43.35063171386719,0.5432483761809593,46.29424360266974,345.1916229609576,3.90144,FJGSP,True,True,True,NaN,381.0,449.58,1673705827.697,1673705827.697,1673704800,False
1673705829,3808fd,43.35093352754237,0.5428423200334821,44.03832951314806,307.4053566314086,4.55168,FJGSP,True,True,True,NaN,381.0,472.44,1673705828.846,1673705828.846,1673704800,False
1673705830,3808fd,43.351196805105424,0.5423188964290572,51.46074279869966,-55.32746655336172,0.0,FJGSP,True,True,True,NaN,386.08,472.44,1673705829.846,1673705829.846,1673704800,True
1673705831,3808fd,43.351228462094724,0.5419274613139894,31.845200822839782,-83.65355066903476,0.0,FJGSP,True,True,True,NaN,391.16,472.44,1673705830.846,1673705830.846,1673704800,True
1673705832,3808fd,43.35144560215836,0.5414036342075893,43.80332819816321,303.5034369824142,4.55168,FJGSP,True,True,True,NaN,396.24,472.44,1673705831.727,1673705831.972,1673704800,False
1673705833,3808fd,43.35149215439618,0.5412074497767857,41.92324069167573,284.2067661177604,4.22656,FJGSP,True,True,True,NaN,396.24,487.68,1673705832.213,1673705832.73,1673704800,False
1673705834,3808fd,43.35159301757812,0.5404379201489826,41.5427465942715,277.8290765100596,4.55168,FJGSP,True,True,True,NaN,403.86,487.68,1673705833.711,1673705833.711,1673704800,False
1673705835,3808fd,43.35163879394531,0.5399269281431687,40.84892687332778,275.782392322364,4.8768,FJGSP,True,True,True,NaN,411.48,495.3,1673705834.76,1673705834.76,1673704800,False
1673705836,3808fd,43.351615126459194,0.5394401643770158,39.445606095615446,-93.82529427215724,3.8100000000000023,FJGSP,True,True,True,NaN,415.29,499.11,1673705835.76,1673705835.76,1673704800,True
1673705837,3808fd,43.35158525887182,0.5389186314174107,40.20899042990043,266.3322119444686,5.52704,FJGSP,True,True,True,NaN,419.1,502.92,1673705836.826,1673705836.826,1673704800,False
1673705838,3808fd,43.35159301757812,0.5384578261264535,40.75812254123922,265.6567600483106,3.2512,FJGSP,True,True,True,NaN,419.1,510.54,1673705837.67,1673705837.67,1673704800,False
1673705839,3808fd,43.351538706634,0.5379377092633928,41.6985344277652,267.8789036033385,2.60096,FJGSP,True,True,True,NaN,419.1,510.54,1673705838.747,1673705838.747,1673704800,False
1673705840,3808fd,43.35154724121094,0.5373080941133721,42.85043688161847,274.8207660780927,0.65024,FJGSP,True,True,True,NaN,419.1,510.54,1673705839.79,1673705839.79,1673704800,False
1673705841,3808fd,43.35163879394531,0.5367971021075582,43.69141121499703,282.2361115094163,-0.65024,FJGSP,True,True,True,NaN,419.1,510.54,1673705840.881,1673705840.881,1673704800,False
1673705842,3808fd,43.35167836334745,0.5365644182477678,43.69141121499703,282.2361115094163,-0.65024,FJGSP,True,True,True,NaN,419.1,510.54,1673705841.455,1673705841.819,1673704800,False
1673705843,3808fd,43.35177146782309,0.5362374441964286,44.66191739948065,294.4985741914338,0.0,FJGSP,True,True,True,NaN,419.1,510.54,1673705842.005,1673705842.604,1673704800,False
1673705844,3808fd,43.35214233398438,0.535328000090843,45.27399488291618,306.2188372656145,0.65024,FJGSP,True,True,True,NaN,419.1,510.54,1673705843.914,1673705843.914,1673704800,False
1673705845,3808fd,43.3524169921875,0.5349447560864826,45.64657872379625,309.9709264182146,0.97536,FJGSP,True,True,True,NaN,426.72,510.54,1673705844.915,1673705844.915,1673704800,False
1673705846,3808fd,43.35273742675781,0.5345615120821221,45.88944290395289,322.7447105464229,1.6256,FJGSP,True,True,True,NaN,426.72,518.1600000000001,1673705845.81,1673705845.854,1673704800,False
1673705847,3808fd,43.35310363769531,0.5342421420784884,45.82018449259986,331.1328405304854,1.95072,FJGSP,True,True,True,NaN,426.72,518.1600000000001,1673705846.925,1673705846.925,1673704800,False
1673705848,3808fd,43.35346984863281,0.5340505200763082,46.02764708556891,334.8670450070866,1.6256,FJGSP,True,True,True,NaN,426.72,518.1600000000001,1673705847.913,1673705847.913,1673704800,False
1673705849,3808fd,43.35386631852489,0.5339486258370536,46.31424790652743,347.8163434140126,1.30048,FJGSP,True,True,True,NaN,426.72,518.1600000000001,1673705848.813,1673705848.813,1673704800,False
1673705850,3808fd,43.35401916503906,0.5338588980741279,46.709702146312,352.4053566314086,0.97536,FJGSP,True,True,True,NaN,426.72,518.1600000000001,1673705849.31,1673705849.311,1673704800,False
1673705851,3808fd,43.35451804985434,0.5338832310267857,46.91605180025395,3.772283609379837,1.6256,FJGSP,True,True,True,NaN,434.34,525.78,1673705850.468,1673705850.908,1673704800,False
1673705852,3808fd,43.35507667670816,0.5339486258370536,46.85678404790769,8.841814560191672,1.30048,FJGSP,True,True,True,NaN,434.34,525.78,1673705851.839,1673705851.951,1673704800,False
1673705853,3808fd,43.35549564684852,0.5340794154575893,46.79178561288432,14.647375272363,1.6256,FJGSP,True,True,True,NaN,434.34,525.78,1673705852.77,1673705852.77,1673704800,False
1673705854,3808fd,43.35594177246094,0.5343060160792151,46.72386475606298,20.62987994612618,1.6256,FJGSP,True,True,True,NaN,434.34,525.78,1673705853.899,1673705853.899,1673704800,False
1673705855,3808fd,43.35638013936705,0.5345371791294643,47.2896893222952,22.38013505195957,1.95072,FJGSP,True,True,True,NaN,441.96,533.4000000000001,1673705854.974,1673705854.974,1673704800,False
1673705856,3808fd,43.35661290055614,0.53466796875,47.48794639556291,22.95408653762848,1.95072,FJGSP,True,True,True,NaN,441.96,533.4000000000001,1673705855.597,1673705855.643,1673704800,False
1673705857,3808fd,43.35698531845868,0.5349295479910714,47.48794639556291,22.95408653762848,1.6256,FJGSP,True,True,True,NaN,441.96,525.7800000000001,1673705856.566,1673705856.566,1673704800,False
1673705858,3808fd,43.35745239257812,0.5351363780886629,47.96207514745491,22.71441235316724,1.6256,FJGSP,True,True,True,NaN,441.96,533.4000000000001,1673705857.729,1673705857.729,1673704800,False
1673705859,3808fd,43.35782325873941,0.5353873116629464,47.96207514745491,22.71441235316724,1.6256,FJGSP,True,True,True,NaN,441.96,533.4000000000001,1673705858.596,1673705858.596,1673704800,False
1673705860,3808fd,43.35838188559322,0.5356488909040178,48.43702671810729,22.47943439710311,1.30048,FJGSP,True,True,True,NaN,449.58,533.4000000000001,1673705859.946,1673705859.946,1673704800,False
