time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1672997579,39273c,41.30465698242188,1.53118896484375,48.54618071955898,27.10812287080178,1.6256,FJIWG,True,True,True,NaN,1203.96,1371.6,1672997578.58,1672997578.876,1672995600,False
1672997580,39273c,41.30502104954456,1.531415075314589,44.67157867310659,25.01140272309937,0.0,FJIWG,True,True,True,NaN,1203.96,1371.6,1672997579.58,1672997579.876,1672995600,True
1672997581,39273c,41.3052089596335,1.5315824965511464,25.14277296311215,33.79423101696959,0.0,FJIWG,True,True,True,NaN,1203.96,1371.6,1672997580.58,1672997580.876,1672995600,True
1672997582,39273c,41.30557250976562,1.53179931640625,48.08606888446208,26.01678294077379,2.27584,FJIWG,True,True,True,NaN,1203.96,1371.6,1672997581.048,1672997581.377,1672995600,False
1672997583,39273c,41.30616585432614,1.5321333169418334,71.63306265949132,22.92131315699004,0.0,FJIWG,True,True,True,NaN,1207.77,1371.6,1672997582.048,1672997582.377,1672995600,True
1672997584,39273c,41.30647795079118,1.532383311878551,40.50164327629006,31.035992120605425,0.0,FJIWG,True,True,True,NaN,1211.58,1371.6,1672997583.048,1672997583.377,1672995600,True
1672997585,39273c,41.30679004725623,1.5326333068152687,40.50159174568511,31.035870965315187,0.0,FJIWG,True,True,True,NaN,1215.39,1371.6,1672997584.048,1672997584.377,1672995600,True
1672997586,39273c,41.30738339181674,1.532967307350852,48.08606888446208,26.01678294077379,2.27584,FJIWG,True,True,True,NaN,1219.2,1371.6,1672997585.641,1672997585.641,1672995600,False
1672997587,39273c,41.30768598136255,1.5331857854669746,38.27665204796762,28.474050277488427,0.0,FJIWG,True,True,True,NaN,1223.01,1371.6,1672997586.641,1672997586.641,1672995600,True
1672997588,39273c,41.30798857090836,1.533404263583097,48.08606888446208,26.01678294077379,2.27584,FJIWG,True,True,True,NaN,1226.82,1371.6,1672997587.193,1672997587.193,1672995600,False
1672997589,39273c,41.30859375,1.533778797496449,48.77460900205664,26.29479007058385,2.92608,FJIWG,True,True,True,NaN,1226.82,1386.84,1672997588.765,1672997588.765,1672995600,False
1672997590,39273c,41.30913856211519,1.5340780167443115,65.53318584818525,22.418486874362515,1.5240000000001146,FJIWG,True,True,True,NaN,1228.344,1388.364,1672997589.765,1672997589.765,1672995600,True
1672997591,39273c,41.30945286730296,1.534304650439982,39.746323840233934,28.441282816776475,3.048000000000002,FJIWG,True,True,True,NaN,1229.868,1389.888,1672997590.765,1672997590.765,1672995600,True
1672997592,39273c,41.30969028583198,1.5345065191495055,31.3247314226346,32.56548968534634,4.572000000000116,FJIWG,True,True,True,NaN,1231.392,1391.412,1672997591.765,1672997591.765,1672995600,True
1672997593,39273c,41.31000443797088,1.5347314434389265,39.663458907049574,28.27143314382076,6.096000000000004,FJIWG,True,True,True,NaN,1232.916,1392.936,1672997592.765,1672997592.765,1672995600,True
1672997594,39273c,41.31054894398834,1.53502724387429,49.23634920346715,26.02959219151345,1.95072,FJIWG,True,True,True,NaN,1234.44,1394.46,1672997593.644,1672997593.681,1672995600,False
1672997595,39273c,41.31094463800979,1.535276933149858,48.69136742802938,25.360008337270262,0.0,FJIWG,True,True,True,NaN,1238.25,1394.46,1672997594.644,1672997594.681,1672995600,True
1672997596,39273c,41.31134033203125,1.535526622425426,49.23634920346715,26.02959219151345,1.95072,FJIWG,True,True,True,NaN,1242.06,1394.46,1672997595.627,1672997595.627,1672995600,False
1672997597,39273c,41.31170654296875,1.53582763671875,49.69646199778362,27.0955524937518,2.27584,FJIWG,True,True,True,NaN,1242.06,1409.7,1672997596.698,1672997596.698,1672995600,False
1672997598,39273c,41.31194551112288,1.53596357865767,49.69646199778362,27.0955524937518,2.60096,FJIWG,True,True,True,NaN,1249.68,1417.32,1672997597.118,1672997597.782,1672995600,False
1672997599,39273c,41.31234741210938,1.5362548828125,49.00467280556074,26.83404347077447,2.92608,FJIWG,True,True,True,NaN,1249.68,1417.32,1672997598.161,1672997598.755,1672995600,False
1672997600,39273c,41.31294250488281,1.53668212890625,49.00467280556074,26.83404347077447,3.2512,FJIWG,True,True,True,NaN,1257.3,1417.32,1672997599.764,1672997599.8,1672995600,False
1672997601,39273c,41.31334207825741,1.536899913441051,49.00467280556074,26.83404347077447,3.2512,FJIWG,True,True,True,NaN,1257.3,1424.94,1672997600.755,1672997600.937,1672995600,False
1672997602,39273c,41.31376647949219,1.53717041015625,49.00467280556074,26.83404347077447,3.2512,FJIWG,True,True,True,NaN,1264.92,1424.94,1672997601.815,1672997601.815,1672995600,False
1672997603,39273c,41.31399380958686,1.537336869673295,49.00467280556074,26.83404347077447,3.2512,FJIWG,True,True,True,NaN,1264.92,1424.94,1672997602.309,1672997602.647,1672995600,False
1672997604,39273c,41.31454467773438,1.5377197265625,49.00467280556074,26.83404347077447,2.92608,FJIWG,True,True,True,NaN,1264.92,1424.94,1672997603.738,1672997603.738,1672995600,False
1672997605,39273c,41.31486511230469,1.5379638671875,49.00467280556074,26.83404347077447,2.92608,FJIWG,True,True,True,NaN,1272.54,1424.94,1672997604.7,1672997604.7,1672995600,False
1672997606,39273c,41.3153528793941,1.5382561939542705,59.47888916003971,24.234343723150946,5.079999999999927,FJIWG,True,True,True,NaN,1275.08,1430.02,1672997605.7,1672997605.7,1672995600,True
1672997607,39273c,41.31561375360399,1.5384711186639544,34.11238409073049,31.748821701201265,10.160000000000082,FJIWG,True,True,True,NaN,1277.6200000000001,1435.1000000000001,1672997606.7,1672997606.7,1672995600,True
1672997608,39273c,41.31610107421875,1.53875732421875,48.77460900205664,26.29479007058385,2.92608,FJIWG,True,True,True,NaN,1280.16,1440.18,1672997607.726,1672997607.726,1672995600,False
1672997609,39273c,41.31637418068061,1.5389210094105115,33.30309965536532,24.235067986218635,0.0,FJIWG,True,True,True,NaN,1280.16,1440.18,1672997608.726,1672997608.726,1672995600,True
1672997610,39273c,41.31664728714248,1.539084694602273,48.77460900205664,26.29479007058385,2.60096,FJIWG,True,True,True,NaN,1280.16,1440.18,1672997609.152,1672997609.933,1672995600,False
1672997611,39273c,41.3171523789228,1.5394398082386365,63.51309720492552,27.836290560248877,7.620000000000118,FJIWG,True,True,True,NaN,1283.97,1447.8000000000002,1672997610.152,1672997610.933,1672995600,True
1672997612,39273c,41.31765747070312,1.539794921875,48.77460900205664,26.29479007058385,2.27584,FJIWG,True,True,True,NaN,1287.78,1455.42,1672997611.731,1672997611.989,1672995600,False
1672997613,39273c,41.31802368164062,1.53997802734375,48.77460900205664,26.29479007058385,2.27584,FJIWG,True,True,True,NaN,1287.78,1455.42,1672997612.676,1672997612.676,1672995600,False
1672997614,39273c,41.31841627217955,1.540270718661221,48.77460900205664,26.29479007058385,2.27584,FJIWG,True,True,True,NaN,1295.4,1463.04,1672997613.605,1672997613.903,1672995600,False
1672997615,39273c,41.31880187988281,1.54052734375,49.23634920346715,26.02959219151345,2.27584,FJIWG,True,True,True,NaN,1295.4,1463.04,1672997614.594,1672997614.78,1672995600,False
1672997616,39273c,41.31920766022245,1.540770097212358,49.23634920346715,26.02959219151345,2.27584,FJIWG,True,True,True,NaN,1295.4,1463.04,1672997615.656,1672997615.878,1672995600,False
1672997617,39273c,41.31976318359375,1.5411376953125,49.69646199778362,27.0955524937518,2.27584,FJIWG,True,True,True,NaN,1303.02,1463.04,1672997616.907,1672997616.907,1672995600,False
1672997618,39273c,41.32003784179688,1.5413818359375,49.69646199778362,27.0955524937518,2.27584,FJIWG,True,True,True,NaN,1303.02,1470.66,1672997617.874,1672997617.874,1672995600,False
1672997619,39273c,41.32042677844081,1.5416227702355414,47.69916337619414,24.949683515057558,0.0,FJIWG,True,True,True,NaN,1303.02,1470.66,1672997618.874,1672997618.874,1672995600,True
1672997620,39273c,41.32081604003906,1.5418701171875,49.47763959111227,27.89727103094763,2.27584,FJIWG,True,True,True,NaN,1303.02,1470.66,1672997619.744,1672997619.927,1672995600,False
1672997621,39273c,41.32118225097656,1.54217529296875,49.47763959111227,27.89727103094763,2.27584,FJIWG,True,True,True,NaN,1310.64,1478.28,1672997620.673,1672997620.907,1672995600,False
1672997622,39273c,41.32158182435116,1.542455499822443,49.47763959111227,27.89727103094763,2.27584,FJIWG,True,True,True,NaN,1310.64,1478.28,1672997621.609,1672997621.929,1672995600,False
1672997623,39273c,41.32196044921875,1.54266357421875,49.51774034570883,29.22805194314513,2.27584,FJIWG,True,True,True,NaN,1310.64,1478.28,1672997622.677,1672997622.793,1672995600,False
1672997624,39273c,41.32241821289062,1.54302978515625,49.51774034570883,29.22805194314513,2.60096,FJIWG,True,True,True,NaN,1318.26,1478.28,1672997623.851,1672997623.851,1672995600,False
1672997625,39273c,41.32292175292969,1.54339599609375,49.51774034570883,29.22805194314513,2.92608,FJIWG,True,True,True,NaN,1318.26,1485.9,1672997624.914,1672997624.914,1672995600,False
