time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1674359278,4b5d51,47.44293342202396,8.55952923114483,9.519827483622407,-134.25136808085517,,GALA51,True,True,True,NaN,,,1674359277.922,1674359277.922,1674356400,False
1674359279,4b5d51,47.4429931640625,8.559619903564453,9.519827483622407,-134.25136808085517,,GALA51,True,True,True,NaN,,,1674359278.942,1674359278.942,1674356400,False
1674359280,4b5d51,47.44301605224609,8.559654235839844,3.6254051903656834,-134.58801558023538,,GALA51,True,True,True,NaN,,,1674359279.415,1674359279.415,1674356400,False
1674359281,4b5d51,47.44308951339346,8.559759145348323,11.356493469342373,44.00483344216179,,GALA51,True,True,True,NaN,,,1674359280.415,1674359280.415,1674356400,True
1674359282,4b5d51,47.44314290709414,8.559863750751202,9.855668663534447,-127.04233257297145,,GALA51,True,True,True,NaN,,,1674359281.471,1674359281.764,1674356400,False
1674359283,4b5d51,47.44318771362305,8.55996322631836,8.988153925532224,-123.66343456767068,,GALA51,True,True,True,NaN,,,1674359282.5,1674359282.5,1674356400,False
1674359284,4b5d51,47.44324764962924,8.560075026292067,10.728779525559656,-128.40283608122104,,GALA51,True,True,True,NaN,,,1674359283.565,1674359283.565,1674356400,False
1674359285,4b5d51,47.44330215454102,8.560169219970703,9.322564953067365,-130.5496749102378,,GALA51,True,True,True,NaN,,,1674359284.607,1674359284.607,1674356400,False
1674359286,4b5d51,47.4433479309082,8.56025505065918,8.220272637289934,-128.25865568108568,,GALA51,True,True,True,NaN,,,1674359285.728,1674359285.728,1674356400,False
1674359287,4b5d51,47.443397684209316,8.560357878121803,9.508158268545774,54.4192483763603,,GALA51,True,True,True,NaN,,,1674359286.728,1674359286.728,1674356400,True
1674359288,4b5d51,47.44345092773438,8.560461044311523,9.759319682817456,-127.34702903885548,,GALA51,True,True,True,NaN,,,1674359287.82,1674359287.82,1674356400,False
1674359289,4b5d51,47.44349204887778,8.560532789963942,7.072393281810868,-130.2799091572715,,GALA51,True,True,True,NaN,,,1674359288.736,1674359288.736,1674356400,False
1674359290,4b5d51,47.443542452185184,8.560628670512704,9.132514051122525,52.14269681542027,,GALA51,True,True,True,NaN,,,1674359289.736,1674359289.736,1674356400,True
