time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1675167020,4b293a,47.17634582519531,7.401832580566406,39.70228027625134,238.7815972356536,5.52704,HBPPY,True,True,True,NaN,426.72,594.36,1675167019.893,1675167019.893,1675166400,False
1675167021,4b293a,47.17616271972656,7.401420593261719,39.70228027625134,238.7815972356536,5.52704,HBPPY,True,True,True,NaN,426.72,594.36,1675167020.795,1675167020.795,1675166400,False
1675167022,4b293a,47.17597961425781,7.401008605957031,39.53528079674174,237.7575321608767,5.85216,HBPPY,True,True,True,NaN,434.34,609.6,1675167021.922,1675167021.922,1675166400,False
1675167023,4b293a,47.17579650878906,7.400527954101562,39.1011283535229,237.3553598650835,5.85216,HBPPY,True,True,True,NaN,441.96,617.22,1675167022.833,1675167022.833,1675166400,False
1675167024,4b293a,47.17561883441472,7.400137094350961,38.82603991599782,237.9946167919165,5.85216,HBPPY,True,True,True,NaN,449.58,617.22,1675167023.74,1675167023.74,1675166400,False
1675167025,4b293a,47.17543262546345,7.39971454326923,38.82603991599782,237.9946167919165,5.52704,HBPPY,True,True,True,NaN,457.2,632.46,1675167024.716,1675167024.954,1675166400,False
1675167026,4b293a,47.17529296875,7.399362417367787,38.55585322434082,238.6429147759901,5.85216,HBPPY,True,True,True,NaN,457.2,632.46,1675167025.652,1675167025.854,1675166400,False
1675167027,4b293a,47.17510675979873,7.398939866286057,38.55585322434082,238.6429147759901,5.85216,HBPPY,True,True,True,NaN,464.8200000000001,640.08,1675167026.579,1675167026.772,1675166400,False
1675167028,4b293a,47.1749267578125,7.398468017578125,38.7339096215704,239.6887867733184,5.85216,HBPPY,True,True,True,NaN,472.44,647.7,1675167027.654,1675167027.953,1675166400,False
1675167029,4b293a,47.17473434189618,7.398024338942307,38.7339096215704,239.6887867733184,5.52704,HBPPY,True,True,True,NaN,480.06,655.32,1675167028.688,1675167028.979,1675166400,False
1675167030,4b293a,47.174560546875,7.397506713867188,38.92475178859334,240.7247457227474,5.52704,HBPPY,True,True,True,NaN,480.06,655.32,1675167029.789,1675167029.995,1675166400,False
1675167031,4b293a,47.17431537175582,7.39696796123798,38.92475178859334,240.7247457227474,5.52704,HBPPY,True,True,True,NaN,487.68,662.94,1675167030.94,1675167030.94,1675166400,False
1675167032,4b293a,47.1741943359375,7.396614074707031,38.92475178859334,240.7247457227474,5.20192,HBPPY,True,True,True,NaN,495.3,662.94,1675167031.809,1675167031.809,1675166400,False
1675167033,4b293a,47.17403605832892,7.396122859074518,39.12819264356277,241.7502645050257,4.8768,HBPPY,True,True,True,NaN,495.3,670.5600000000001,1675167032.886,1675167032.964,1675166400,False
1675167034,4b293a,47.17384984937765,7.395629882812499,39.12819264356277,241.7502645050257,4.8768,HBPPY,True,True,True,NaN,502.92,670.5600000000001,1675167033.95,1675167033.95,1675166400,False
1675167035,4b293a,47.17375674490201,7.395348182091346,39.3440367503954,242.7648533006975,4.55168,HBPPY,True,True,True,NaN,502.92,678.1800000000001,1675167034.514,1675167034.514,1675166400,False
1675167036,4b293a,47.17355346679688,7.394828796386719,39.80214363584072,243.1037630345066,4.22656,HBPPY,True,True,True,NaN,510.54,685.8000000000001,1675167035.653,1675167035.656,1675166400,False
1675167037,4b293a,47.17341613769531,7.39434814453125,39.80214363584072,243.1037630345066,4.22656,HBPPY,True,True,True,NaN,518.1600000000001,685.8000000000001,1675167036.611,1675167036.611,1675166400,False
1675167038,4b293a,47.17324467028602,7.393939678485577,39.80214363584072,243.1037630345066,4.22656,HBPPY,True,True,True,NaN,518.1600000000001,685.8000000000001,1675167037.546,1675167037.551,1675166400,False
1675167039,4b293a,47.173095703125,7.393524169921875,39.57208115070159,243.7680600668434,4.22656,HBPPY,True,True,True,NaN,525.78,693.4200000000001,1675167038.44,1675167038.444,1675166400,False
1675167040,4b293a,47.17295837402344,7.393043518066406,39.80214363584072,243.1037630345066,4.55168,HBPPY,True,True,True,NaN,525.78,701.04,1675167039.471,1675167039.637,1675166400,False
1675167041,4b293a,47.1727294921875,7.392425537109375,40.0374946103868,242.4471884232822,4.22656,HBPPY,True,True,True,NaN,533.4,701.04,1675167040.825,1675167040.936,1675166400,False
1675167042,4b293a,47.17254638671875,7.391944885253906,40.07383377713253,240.8025139539355,4.55168,HBPPY,True,True,True,NaN,541.02,708.66,1675167041.848,1675167041.859,1675166400,False
1675167043,4b293a,47.17236328125,7.391464233398438,40.97506899614428,241.504361381755,4.22656,HBPPY,True,True,True,NaN,541.02,708.66,1675167042.807,1675167042.99,1675166400,False
1675167044,4b293a,47.17222052105402,7.391052246093749,40.97506899614428,241.504361381755,4.22656,HBPPY,True,True,True,NaN,541.02,708.66,1675167043.75,1675167043.774,1675166400,False
1675167045,4b293a,47.17204284667969,7.390571594238281,41.1876602001347,242.4747742562556,3.90144,HBPPY,True,True,True,NaN,548.64,716.28,1675167044.786,1675167044.786,1675166400,False
1675167046,4b293a,47.17185974121094,7.390022277832031,41.64455160916261,242.8018720514909,3.90144,HBPPY,True,True,True,NaN,548.64,716.28,1675167045.861,1675167045.929,1675166400,False
1675167047,4b293a,47.17167663574219,7.389541625976562,41.8821874537781,242.1759036157467,3.90144,HBPPY,True,True,True,NaN,556.26,723.9,1675167046.853,1675167046.994,1675166400,False
1675167048,4b293a,47.17149353027344,7.389060974121094,41.67313945925399,241.2201936956027,3.57632,HBPPY,True,True,True,NaN,556.26,731.52,1675167047.861,1675167047.999,1675166400,False
1675167049,4b293a,47.17128947629767,7.388516939603365,41.67313945925399,241.2201936956027,4.22656,HBPPY,True,True,True,NaN,563.88,739.14,1675167048.929,1675167048.937,1675166400,False
1675167050,4b293a,47.1711032673464,7.388023963341346,41.67313945925399,241.2201936956027,5.20192,HBPPY,True,True,True,NaN,571.5,731.52,1675167049.953,1675167049.971,1675166400,False
1675167051,4b293a,47.17091705839513,7.387530987079327,42.12476561782724,241.5570713756367,5.52704,HBPPY,True,True,True,NaN,579.12,746.76,1675167050.899,1675167050.962,1675166400,False
1675167052,4b293a,47.17085266113281,7.387275695800781,42.33783481873073,242.5008612689528,5.52704,HBPPY,True,True,True,NaN,579.12,746.76,1675167051.461,1675167051.942,1675166400,False
1675167053,4b293a,47.17063774496822,7.386756310096153,42.33783481873073,242.5008612689528,4.8768,HBPPY,True,True,True,NaN,586.74,754.38,1675167052.576,1675167052.824,1675166400,False
1675167054,4b293a,47.17040498377913,7.386052058293268,42.10277081087334,243.1218602479014,3.90144,HBPPY,True,True,True,NaN,586.74,754.38,1675167053.965,1675167053.987,1675166400,False
1675167055,4b293a,47.17026532706568,7.385629507211537,42.56227492082537,243.434948822922,3.57632,HBPPY,True,True,True,NaN,594.36,754.38,1675167054.879,1675167054.891,1675166400,False
1675167056,4b293a,47.170166015625,7.385284423828125,42.56227492082537,243.434948822922,4.22656,HBPPY,True,True,True,NaN,594.36,762.0,1675167055.395,1675167055.89,1675166400,False
1675167057,4b293a,47.16989135742188,7.384529113769531,42.56227492082537,243.434948822922,4.22656,HBPPY,True,True,True,NaN,601.98,769.62,1675167056.984,1675167056.984,1675166400,False
1675167058,4b293a,47.16970670021186,7.384080153245192,42.56227492082537,243.434948822922,4.55168,HBPPY,True,True,True,NaN,609.6,769.62,1675167057.939,1675167057.939,1675166400,False
1675167059,4b293a,47.16956704349841,7.383516751802884,43.02302276894528,243.7413404451927,4.55168,HBPPY,True,True,True,NaN,609.6,777.24,1675167058.949,1675167058.956,1675166400,False
1675167060,4b293a,47.16947393902277,7.38323505108173,43.02302276894528,243.7413404451927,4.22656,HBPPY,True,True,True,NaN,609.6,777.24,1675167059.53,1675167059.596,1675166400,False
1675167061,4b293a,47.16925048828125,7.382606506347656,43.25308584786043,243.1301869125009,4.22656,HBPPY,True,True,True,NaN,617.22,784.86,1675167060.866,1675167060.87,1675166400,False
1675167062,4b293a,47.16905496888241,7.382108248197115,43.02302276894528,243.7413404451927,4.22656,HBPPY,True,True,True,NaN,624.84,792.48,1675167061.71,1675167061.71,1675166400,False
1675167063,4b293a,47.16897583007812,7.381851196289062,42.56227492082537,243.434948822922,4.55168,HBPPY,True,True,True,NaN,624.84,792.48,1675167062.202,1675167062.202,1675166400,False
1675167064,4b293a,47.16874694824219,7.38116455078125,42.33783481873073,242.5008612689528,5.20192,HBPPY,True,True,True,NaN,632.46,800.1,1675167063.638,1675167063.716,1675166400,False
1675167065,4b293a,47.16851806640625,7.380615234375,41.67313945925399,241.2201936956027,5.20192,HBPPY,True,True,True,NaN,640.08,815.34,1675167064.804,1675167064.989,1675166400,False
1675167066,4b293a,47.16831013307733,7.380065917968749,41.47580125065699,240.2551187030577,5.52704,HBPPY,True,True,True,NaN,647.7,822.96,1675167065.91,1675167065.942,1675166400,False
1675167067,4b293a,47.1682170286017,7.379854642427884,41.47580125065699,240.2551187030577,6.502400000000001,HBPPY,True,True,True,NaN,647.7,815.34,1675167066.474,1675167066.923,1675166400,False
1675167068,4b293a,47.16796875,7.379173278808594,41.0299326581716,239.8986954344003,6.827520000000001,HBPPY,True,True,True,NaN,662.94,822.96,1675167067.83,1675167067.838,1675166400,False
1675167069,4b293a,47.16775150622352,7.37865741436298,41.0299326581716,239.8986954344003,5.85216,HBPPY,True,True,True,NaN,662.94,830.58,1675167068.903,1675167068.903,1675166400,False
1675167070,4b293a,47.1676025390625,7.378280639648438,41.29034072145824,239.2810957359708,5.85216,HBPPY,True,True,True,NaN,670.5600000000001,830.58,1675167069.779,1675167069.845,1675166400,False
1675167071,4b293a,47.16746520996094,7.37786865234375,41.29034072145824,239.2810957359708,5.85216,HBPPY,True,True,True,NaN,678.1800000000001,845.82,1675167070.671,1675167070.877,1675166400,False
1675167072,4b293a,47.16728210449219,7.377388000488281,41.29034072145824,239.2810957359708,5.52704,HBPPY,True,True,True,NaN,678.1800000000001,845.82,1675167071.713,1675167071.713,1675166400,False
1675167073,4b293a,47.16709977489407,7.376967210036057,41.73342727771128,239.6418845412334,4.8768,HBPPY,True,True,True,NaN,685.8000000000001,845.82,1675167072.553,1675167072.651,1675166400,False
1675167074,4b293a,47.16696011818061,7.376685509314903,41.99577503228514,239.0362434679265,4.22656,HBPPY,True,True,True,NaN,685.8000000000001,853.44,1675167073.242,1675167073.967,1675166400,False
1675167075,4b293a,47.16668701171875,7.375946044921875,42.43773251801373,239.3935929684905,4.22656,HBPPY,True,True,True,NaN,693.4200000000001,861.0600000000001,1675167074.66,1675167074.801,1675166400,False
1675167076,4b293a,47.16649459580243,7.375558706430287,42.88130673425109,239.7435628364707,3.90144,HBPPY,True,True,True,NaN,693.4200000000001,853.44,1675167075.564,1675167075.912,1675166400,False
1675167077,4b293a,47.16626183461334,7.374854454627403,42.62440966181984,240.3408907640049,3.57632,HBPPY,True,True,True,NaN,701.0400000000001,868.6800000000001,1675167076.904,1675167076.904,1675166400,False
1675167078,4b293a,47.16607562566207,7.374431903545672,43.07220600623283,240.6795241224193,3.2512,HBPPY,True,True,True,NaN,701.0400000000001,868.6800000000001,1675167077.879,1675167077.879,1675166400,False
1675167079,4b293a,47.16584286447299,7.373868502103365,43.52147592541356,241.0111774788085,3.57632,HBPPY,True,True,True,NaN,708.6600000000001,876.3000000000001,1675167078.919,1675167078.919,1675166400,False
1675167080,4b293a,47.16567993164062,7.373405456542969,43.52147592541356,241.0111774788085,3.90144,HBPPY,True,True,True,NaN,708.6600000000001,868.6800000000001,1675167079.801,1675167079.815,1675166400,False
1675167081,4b293a,47.16551699880826,7.372952974759615,43.97217425222019,241.3360428897185,3.90144,HBPPY,True,True,True,NaN,716.2800000000001,876.3000000000001,1675167080.711,1675167080.979,1675166400,False
1675167082,4b293a,47.16533078985699,7.372459998497596,43.97217425222019,241.3360428897185,3.2512,HBPPY,True,True,True,NaN,716.2800000000001,876.3000000000001,1675167081.671,1675167081.902,1675166400,False
1675167083,4b293a,47.16522216796875,7.372169494628906,43.97217425222019,241.3360428897185,3.2512,HBPPY,True,True,True,NaN,716.2800000000001,876.3000000000001,1675167082.209,1675167082.685,1675166400,False
1675167084,4b293a,47.16505147643008,7.371755746694711,44.67080504854866,241.0735741647464,3.2512,HBPPY,True,True,True,NaN,723.9000000000001,883.9200000000001,1675167083.149,1675167083.828,1675166400,False
1675167085,4b293a,47.16476440429688,7.370933532714844,44.67080504854866,241.0735741647464,3.2512,HBPPY,True,True,True,NaN,723.9000000000001,883.9200000000001,1675167084.589,1675167084.644,1675166400,False
1675167086,4b293a,47.16458129882812,7.370452880859375,44.67080504854866,241.0735741647464,3.57632,HBPPY,True,True,True,NaN,731.52,891.54,1675167085.592,1675167085.841,1675166400,False
1675167087,4b293a,47.16439974510063,7.369995117187499,45.37034438286543,240.8191939475001,3.57632,HBPPY,True,True,True,NaN,731.52,891.54,1675167086.523,1675167086.797,1675166400,False
1675167088,4b293a,47.16416931152344,7.369422912597656,45.37034438286543,240.8191939475001,3.57632,HBPPY,True,True,True,NaN,739.14,899.16,1675167087.595,1675167087.678,1675166400,False
1675167089,4b293a,47.16398620605469,7.368942260742188,45.82018449259986,241.1328405304854,3.57632,HBPPY,True,True,True,NaN,739.14,899.16,1675167088.584,1675167088.604,1675166400,False
1675167090,4b293a,47.163794566009,7.368375338040865,45.82018449259986,241.1328405304854,3.2512,HBPPY,True,True,True,NaN,746.76,906.78,1675167089.547,1675167089.963,1675166400,False
1675167091,4b293a,47.16371154785156,7.368118286132812,46.02764708556891,242.0028526387574,2.92608,HBPPY,True,True,True,NaN,746.76,906.78,1675167090.044,1675167090.493,1675166400,False
1675167092,4b293a,47.16342214810646,7.367318960336537,46.02764708556891,242.0028526387574,3.2512,HBPPY,True,True,True,NaN,754.38,914.4,1675167091.508,1675167091.568,1675166400,False
1675167093,4b293a,47.16323593915519,7.36675555889423,46.02764708556891,242.0028526387574,3.2512,HBPPY,True,True,True,NaN,754.38,914.4,1675167092.559,1675167092.607,1675166400,False
1675167094,4b293a,47.1630031779661,7.366192157451922,45.78840604361973,242.5712587783224,3.90144,HBPPY,True,True,True,NaN,762.0,914.4,1675167093.679,1675167093.679,1675166400,False
1675167095,4b293a,47.16279602050781,7.365646362304688,46.02764708556891,242.0028526387574,4.55168,HBPPY,True,True,True,NaN,762.0,922.02,1675167094.652,1675167094.652,1675166400,False
1675167096,4b293a,47.16258420782574,7.365065354567307,46.02764708556891,242.0028526387574,5.20192,HBPPY,True,True,True,NaN,769.62,929.64,1675167095.735,1675167095.735,1675166400,False
1675167097,4b293a,47.16238403320312,7.364547729492188,45.82018449259986,241.1328405304854,5.20192,HBPPY,True,True,True,NaN,777.24,937.26,1675167096.778,1675167096.778,1675166400,False
1675167098,4b293a,47.1622117899232,7.364079402043268,46.07075086940433,240.5725435968102,4.8768,HBPPY,True,True,True,NaN,777.24,937.26,1675167097.694,1675167097.694,1675166400,False
1675167099,4b293a,47.16197902873411,7.363445575420672,46.32567505891117,240.0183606311506,4.55168,HBPPY,True,True,True,NaN,784.86,937.26,1675167098.709,1675167098.709,1675166400,False
1675167100,4b293a,47.16179281978284,7.362952599158653,47.02873612685708,239.7886776141652,3.90144,HBPPY,True,True,True,NaN,784.86,937.26,1675167099.731,1675167099.731,1675166400,False
1675167101,4b293a,47.16156005859375,7.362389197716346,47.2896893222952,239.2500326978036,3.2512,HBPPY,True,True,True,NaN,792.48,944.88,1675167100.765,1675167100.765,1675166400,False
1675167102,4b293a,47.16132729740466,7.361825796274037,47.2896893222952,239.2500326978036,3.2512,HBPPY,True,True,True,NaN,792.48,944.88,1675167101.727,1675167101.79,1675166400,False
1675167103,4b293a,47.16114108845339,7.361332820012018,47.73253067072627,239.5657642465566,3.2512,HBPPY,True,True,True,NaN,792.48,944.88,1675167102.744,1675167102.763,1675166400,False
1675167104,4b293a,47.16087341308594,7.360702514648438,47.73253067072627,239.5657642465566,2.92608,HBPPY,True,True,True,NaN,800.1,952.5,1675167103.837,1675167103.837,1675166400,False
1675167105,4b293a,47.16062901383739,7.360135591947115,47.73253067072627,239.5657642465566,3.57632,HBPPY,True,True,True,NaN,800.1,952.5,1675167104.941,1675167104.983,1675166400,False
1675167106,4b293a,47.16046142578125,7.359603881835938,48.43702671810729,239.3493320429471,3.2512,HBPPY,True,True,True,NaN,807.72,960.12,1675167105.849,1675167105.918,1675166400,False
1675167107,4b293a,47.16018676757812,7.358985900878906,48.43702671810729,239.3493320429471,3.2512,HBPPY,True,True,True,NaN,807.72,960.12,1675167106.996,1675167106.996,1675166400,False
1675167108,4b293a,47.16000366210938,7.358505249023438,48.43702671810729,239.3493320429471,3.2512,HBPPY,True,True,True,NaN,815.34,967.74,1675167107.867,1675167107.867,1675166400,False
1675167109,4b293a,47.15986633300781,7.358230590820312,48.43702671810729,239.3493320429471,3.2512,HBPPY,True,True,True,NaN,815.34,967.74,1675167108.459,1675167108.459,1675166400,False
1675167110,4b293a,47.15955831236758,7.357459435096153,48.70130247043535,238.8286509722802,3.2512,HBPPY,True,True,True,NaN,822.96,975.36,1675167109.879,1675167109.913,1675166400,False
1675167111,4b293a,47.15931701660156,7.356857299804688,48.96955658979665,238.3136323121434,3.2512,HBPPY,True,True,True,NaN,822.96,975.36,1675167110.802,1675167110.802,1675166400,False
1675167112,4b293a,47.1590927899894,7.356332632211537,48.96955658979665,238.3136323121434,2.92608,HBPPY,True,True,True,NaN,822.96,975.36,1675167111.881,1675167111.982,1675166400,False
1675167113,4b293a,47.15885925292969,7.355690002441406,49.40805451695568,238.6269948598915,3.2512,HBPPY,True,True,True,NaN,830.58,982.98,1675167112.985,1675167112.985,1675166400,False
1675167114,4b293a,47.15872037208686,7.355417104867787,49.40805451695568,238.6269948598915,3.2512,HBPPY,True,True,True,NaN,830.58,982.98,1675167113.516,1675167113.783,1675166400,False
1675167115,4b293a,47.15839450642214,7.354572002704327,49.84800432271992,238.9348351145013,3.2512,HBPPY,True,True,True,7000,838.2,990.6,1675167114.965,1675167114.992,1675166400,False
1675167116,4b293a,47.15817260742188,7.354110717773438,49.84800432271992,238.9348351145013,2.92608,HBPPY,True,True,True,7000,838.2,990.6,1675167115.812,1675167115.998,1675166400,False
1675167117,4b293a,47.15792898404396,7.353445199819711,50.28936790240672,239.2372804657611,2.60096,HBPPY,True,True,True,7000,838.2,990.6,1675167116.934,1675167116.973,1675166400,False
1675167118,4b293a,47.15769622285487,7.352881798377403,50.55443046426645,238.7362683056226,2.60096,HBPPY,True,True,True,7000,845.82,990.6,1675167117.923,1675167117.923,1675166400,False
1675167119,4b293a,47.15748596191406,7.352394104003906,50.99486968206053,239.0362434679265,2.60096,HBPPY,True,True,True,7000,845.82,990.6,1675167118.816,1675167118.816,1675166400,False
1675167120,4b293a,47.15721130371094,7.351776123046875,51.2614470600601,238.5431766424447,2.27584,HBPPY,True,True,True,7000,845.82,990.6,1675167119.802,1675167119.972,1675166400,False
1675167121,4b293a,47.15699793928761,7.351262019230768,51.70098214031916,238.8406954916556,0.97536,HBPPY,True,True,True,7000,845.82,998.22,1675167120.743,1675167120.899,1675166400,False
1675167122,4b293a,47.15675354003906,7.350608825683594,52.40768059333868,238.650419134757,1.30048,HBPPY,True,True,True,7000,845.82,998.22,1675167121.85,1675167121.99,1675166400,False
1675167123,4b293a,47.15647888183594,7.350059509277344,52.67715649587551,238.1725534233269,1.95072,HBPPY,True,True,True,7000,853.44,998.22,1675167122.902,1675167122.975,1675166400,False
1675167124,4b293a,47.15625,7.349441528320312,52.67715649587551,238.1725534233269,1.95072,HBPPY,True,True,True,7000,853.44,998.22,1675167123.81,1675167123.901,1675166400,False
1675167125,4b293a,47.15602111816406,7.348960876464844,52.95025923512353,237.6995844895973,1.95072,HBPPY,True,True,True,7000,853.44,998.22,1675167124.681,1675167124.937,1675166400,False
1675167126,4b293a,47.15579223632812,7.348342895507812,53.66023299427314,237.5288077091515,1.95072,HBPPY,True,True,True,7000,853.44,998.22,1675167125.597,1675167125.925,1675166400,False
1675167127,4b293a,47.15550826767743,7.347740760216346,53.66023299427314,237.5288077091515,2.60096,HBPPY,True,True,True,7000,861.0600000000001,1005.84,1675167126.685,1675167126.962,1675166400,False
1675167128,4b293a,47.15522895425052,7.347106933593749,54.09495466637117,237.8213437933989,2.92608,HBPPY,True,True,True,7000,861.0600000000001,1005.84,1675167127.729,1675167127.797,1675166400,False
1675167129,4b293a,47.15496826171875,7.346420288085938,54.531064,238.1092081981543,2.60096,HBPPY,True,True,True,7000,861.0600000000001,1005.84,1675167128.792,1675167128.863,1675166400,False
1675167130,4b293a,47.15471687963453,7.345909705528846,54.80458637800731,237.6525565005579,2.60096,HBPPY,True,True,True,7000,868.6800000000001,1013.46,1675167129.722,1675167129.963,1675166400,False
1675167131,4b293a,47.15448411844545,7.345416729266827,54.531064,238.1092081981543,2.60096,HBPPY,True,True,True,7000,868.6800000000001,1013.46,1675167130.566,1675167130.945,1675166400,False
1675167132,4b293a,47.15423583984375,7.344703674316406,54.26104034330709,238.5704343851615,2.60096,HBPPY,True,True,True,7000,876.3000000000001,1021.08,1675167131.613,1675167131.987,1675166400,False
1675167133,4b293a,47.15397204382945,7.344219501201922,54.26104034330709,238.5704343851615,2.60096,HBPPY,True,True,True,7000,876.3000000000001,1021.08,1675167132.516,1675167132.979,1675166400,False
1675167134,4b293a,47.15369273040254,7.343444824218749,53.82274313450269,238.2848664849022,3.2512,HBPPY,True,True,True,7000,876.3000000000001,1021.08,1675167133.704,1675167133.993,1675166400,False
1675167135,4b293a,47.15341341697563,7.342881422776442,53.99456789865233,239.0362434679265,3.57632,HBPPY,True,True,True,7000,883.9200000000001,1028.7,1675167134.726,1675167134.991,1675166400,False
1675167136,4b293a,47.15318065578654,7.342247596153846,53.99456789865233,239.0362434679265,3.57632,HBPPY,True,True,True,7000,883.9200000000001,1028.7,1675167135.725,1675167135.991,1675166400,False
1675167137,4b293a,47.15290134235964,7.341543344350961,53.73169950080329,239.5066415975243,3.2512,HBPPY,True,True,True,7000,891.5400000000001,1036.32,1675167136.865,1675167136.9,1675166400,False
1675167138,4b293a,47.15262202893273,7.340909517728365,53.73169950080329,239.5066415975243,3.2512,HBPPY,True,True,True,7000,891.5400000000001,1036.32,1675167137.914,1675167137.984,1675166400,False
1675167139,4b293a,47.15240478515625,7.340377807617188,53.73169950080329,239.5066415975243,3.2512,HBPPY,True,True,True,7000,899.1600000000001,1036.32,1675167138.822,1675167138.978,1675166400,False
1675167140,4b293a,47.15220305879237,7.339782714843749,53.73169950080329,239.5066415975243,3.2512,HBPPY,True,True,True,7000,899.1600000000001,1043.94,1675167139.763,1675167139.893,1675166400,False
1675167141,4b293a,47.15197029760328,7.339219313401442,53.91854162585408,240.2551187030577,2.92608,HBPPY,True,True,True,7000,899.1600000000001,1043.94,1675167140.675,1675167140.941,1675166400,False
1675167142,4b293a,47.1517375364142,7.338585486778846,53.66516477434828,240.7320047851073,2.60096,HBPPY,True,True,True,7000,906.7800000000001,1051.56,1675167141.721,1675167141.996,1675166400,False
1675167143,4b293a,47.1514892578125,7.337974548339844,54.11452061498688,240.9983005761118,2.92608,HBPPY,True,True,True,7000,906.7800000000001,1051.56,1675167142.653,1675167142.988,1675166400,False
1675167144,4b293a,47.15127201403602,7.337317833533653,54.11452061498688,240.9983005761118,3.2512,HBPPY,True,True,True,7000,914.4000000000001,1051.56,1675167143.737,1675167143.779,1675166400,False
1675167145,4b293a,47.15094614837129,7.33654315655048,54.56502614110984,241.260204708312,2.60096,HBPPY,True,True,True,7000,914.4000000000001,1059.18,1675167144.9,1675167144.981,1675166400,False
1675167146,4b293a,47.15075993942002,7.336050180288461,54.77318873213149,241.9908232919861,2.27584,HBPPY,True,True,True,7000,914.4000000000001,1059.18,1675167145.794,1675167145.972,1675166400,False
1675167147,4b293a,47.15052795410156,7.335365295410156,54.53349056865177,242.4680232512777,1.95072,HBPPY,True,True,True,7000,914.4000000000001,1059.18,1675167146.789,1675167147.0,1675166400,False
1675167148,4b293a,47.15029907226562,7.334678649902344,54.99018949328995,242.7157927063769,1.95072,HBPPY,True,True,True,7000,922.0200000000001,1066.8,1675167147.793,1675167147.959,1675166400,False
1675167149,4b293a,47.15010820809057,7.334148700420672,54.75627485030135,243.1942116702002,1.95072,HBPPY,True,True,True,7000,922.0200000000001,1066.8,1675167148.769,1675167148.882,1675166400,False
1675167150,4b293a,47.14988708496094,7.333580017089844,54.98778307841479,243.9144002217186,1.95072,HBPPY,True,True,True,7000,922.0200000000001,1066.8,1675167149.643,1675167149.995,1675166400,False
1675167151,4b293a,47.149658203125,7.332756042480469,54.98778307841479,243.9144002217186,2.27584,HBPPY,True,True,True,7000,922.0200000000001,1066.8,1675167150.901,1675167150.987,1675166400,False
1675167152,4b293a,47.14945647676112,7.332176795372596,54.76352429646171,244.3978124485582,2.27584,HBPPY,True,True,True,7000,929.6400000000001,1074.42,1675167151.775,1675167151.989,1675166400,False
1675167153,4b293a,47.14922371557203,7.331542968749999,54.54319576370435,244.8851651138554,2.60096,HBPPY,True,True,True,7000,929.6400000000001,1074.42,1675167152.757,1675167152.953,1675166400,False
1675167154,4b293a,47.14899095438295,7.330768291766827,54.54319576370435,244.8851651138554,2.60096,HBPPY,True,True,True,7000,937.26,1074.42,1675167153.885,1675167153.943,1675166400,False
1675167155,4b293a,47.14878845214844,7.330009460449219,54.79492748008633,245.6005640758249,2.60096,HBPPY,True,True,True,7000,937.26,1082.04,1675167154.983,1675167154.996,1675166400,False
1675167156,4b293a,47.14869689941406,7.329734802246094,55.05512293596853,246.3093105971726,2.60096,HBPPY,True,True,True,7000,937.26,1082.04,1675167155.432,1675167155.961,1675166400,False
1675167157,4b293a,47.14842224121094,7.328842163085938,54.9299974948073,247.9993016494594,2.60096,HBPPY,True,True,True,7000,944.88,1082.04,1675167156.873,1675167156.995,1675166400,False
1675167158,4b293a,47.14824611857786,7.328092134915865,55.03348696777612,249.1932089872888,2.27584,HBPPY,True,True,True,7000,944.88,1089.66,1675167157.881,1675167157.979,1675166400,False
