time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1673346287,4b43e6,46.52439957958157,7.340377807617188,65.07259074430647,55.30484646876604,-0.97536,HBZSO,True,True,True,NaN,1897.38,2026.92,1673346286.974,1673346286.974,1673344800,False
1673346288,4b43e6,46.52477199748411,7.341133117675781,65.36678588855902,54.93409747035657,-0.65024,HBZSO,True,True,True,NaN,1897.38,2026.92,1673346287.686,1673346287.961,1673344800,False
1673346289,4b43e6,46.52513122558594,7.341881728753812,65.36678588855902,54.93409747035657,-0.65024,HBZSO,True,True,True,NaN,1897.38,2026.92,1673346288.994,1673346288.994,1673344800,False
1673346290,4b43e6,46.5252685546875,7.342216677782012,65.36678588855902,54.93409747035657,-0.32512,HBZSO,True,True,True,NaN,1897.38,2026.92,1673346289.478,1673346289.488,1673344800,False
1673346291,4b43e6,46.52565649000265,7.342987060546875,65.36678588855902,54.93409747035657,-0.65024,HBZSO,True,True,True,NaN,1897.38,2026.92,1673346290.471,1673346290.471,1673344800,False
1673346292,4b43e6,46.52604675292969,7.343690453506098,65.36678588855902,54.93409747035657,-0.65024,HBZSO,True,True,True,NaN,1897.38,2026.92,1673346291.515,1673346291.881,1673344800,False
1673346293,4b43e6,46.52640132580773,7.344497680664062,65.07259074430647,55.30484646876604,-0.32512,HBZSO,True,True,True,NaN,1897.38,2026.92,1673346292.774,1673346292.982,1673344800,False
1673346294,4b43e6,46.52677917480469,7.345231219035823,65.07259074430647,55.30484646876604,-0.32512,HBZSO,True,True,True,NaN,1897.38,2026.92,1673346293.791,1673346293.791,1673344800,False
1673346295,4b43e6,46.52714616161282,7.34600830078125,65.07259074430647,55.30484646876604,0.0,HBZSO,True,True,True,NaN,1897.38,2026.92,1673346294.721,1673346294.721,1673344800,False
1673346296,4b43e6,46.52742547503972,7.346626281738281,65.07259074430647,55.30484646876604,0.0,HBZSO,True,True,True,NaN,1897.38,2026.92,1673346295.657,1673346295.657,1673344800,False
1673346297,4b43e6,46.52778625488281,7.347374892816312,65.36678588855902,54.93409747035657,-0.32512,HBZSO,True,True,True,NaN,1889.76,2019.3,1673346296.901,1673346296.901,1673344800,False
1673346298,4b43e6,46.52807720636917,7.347999572753906,65.36678588855902,54.93409747035657,-0.65024,HBZSO,True,True,True,NaN,1889.76,2019.3,1673346297.627,1673346297.953,1673344800,False
1673346299,4b43e6,46.52847290039062,7.348714688929117,64.94639022431939,54.6733554324035,0.0,HBZSO,True,True,True,NaN,1889.76,2019.3,1673346298.605,1673346298.99,1673344800,False
1673346300,4b43e6,46.52874755859375,7.349384586985519,65.24521085606636,54.30477234064332,0.0,HBZSO,True,True,True,NaN,1889.76,2019.3,1673346299.592,1673346299.703,1673344800,False
