time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1674359079,4b5d8b,47.44645975403866,8.552486713115984,4.356157349738525,64.67025193461576,,KONDOR12,True,True,True,NaN,,,1674359078.646,1674359078.646,1674356400,False
1674359080,4b5d8b,47.44647651452732,8.552539072477016,4.356157349738525,64.67025193461576,,KONDOR12,True,True,True,NaN,,,1674359079.646,1674359079.646,1674356400,True
1674359081,4b5d8b,47.44649466821703,8.552592350886417,4.48626072767767,-116.74053052139703,,KONDOR12,True,True,True,NaN,,,1674359080.023,1674359080.023,1674356400,False
1674359082,4b5d8b,47.44654083251953,8.552719116210938,10.826833815759791,-118.30212895494275,,KONDOR12,True,True,True,NaN,,,1674359081.713,1674359081.713,1674356400,False
1674359083,4b5d8b,47.44655227661133,8.552753448486328,2.878316506406773,-116.23840464043376,,KONDOR12,True,True,True,NaN,,,1674359082.133,1674359082.41,1674356400,False
1674359084,4b5d8b,47.446548591235846,8.55274472532721,0.7734522233397176,-121.99369230634653,,KONDOR12,True,True,True,NaN,,,1674359083.133,1674359083.41,1674356400,True
1674359085,4b5d8b,47.44651262211157,8.552642136744705,8.68968240624568,-117.40437497059348,,KONDOR12,True,True,True,NaN,,,1674359084.133,1674359084.41,1674356400,True
1674359086,4b5d8b,47.44647645307652,8.552539414085498,8.708882459019403,-117.50366186105653,,KONDOR12,True,True,True,NaN,,,1674359085.133,1674359085.41,1674356400,True
1674359087,4b5d8b,47.44647216796875,8.552530288696289,0.835422277264731,55.22543183173168,,KONDOR12,True,True,True,NaN,,,1674359086.754,1674359086.754,1674356400,False
1674359088,4b5d8b,47.44644586445872,8.552485708996118,4.448902206704315,-131.10372111563524,,KONDOR12,True,True,True,NaN,,,1674359087.754,1674359087.754,1674356400,True
1674359089,4b5d8b,47.44642283465708,8.552467761113752,2.894695585759976,-152.20867186738207,,KONDOR12,True,True,True,NaN,,,1674359088.754,1674359088.754,1674356400,True
1674359090,4b5d8b,47.446403837726834,8.552473246608198,2.152262283506327,168.95031522638746,,KONDOR12,True,True,True,NaN,,,1674359089.754,1674359089.754,1674356400,True
1674359091,4b5d8b,47.446389632830964,8.552498967038456,2.497155361385738,129.236624717375,,KONDOR12,True,True,True,NaN,,,1674359090.754,1674359090.754,1674356400,True
1674359092,4b5d8b,47.44638097913247,8.55254172396353,3.356173577491694,106.66105428835701,,KONDOR12,True,True,True,NaN,,,1674359091.754,1674359091.754,1674356400,True
1674359093,4b5d8b,47.446378635794325,8.552598318942419,4.263848948426877,93.50355433367297,,KONDOR12,True,True,True,NaN,,,1674359092.754,1674359092.754,1674356400,True
1674359094,4b5d8b,47.44638336197954,8.552665553534121,5.083205609699141,84.0658409010304,,KONDOR12,True,True,True,NaN,,,1674359093.754,1674359093.754,1674356400,True
1674359095,4b5d8b,47.446395916851095,8.552740229297642,5.786461861706328,76.03909242712358,,KONDOR12,True,True,True,NaN,,,1674359094.754,1674359094.754,1674356400,True
1674359096,4b5d8b,47.446417059571985,8.552819147791984,6.383280734952893,68.38914921708141,,KONDOR12,True,True,True,NaN,,,1674359095.754,1674359095.754,1674356400,True
1674359097,4b5d8b,47.4464475493052,8.552899110576144,6.903014759331071,60.58484243368372,,KONDOR12,True,True,True,NaN,,,1674359096.754,1674359096.754,1674356400,True
1674359098,4b5d8b,47.44648814521372,8.552976919209126,7.390010540627126,52.350244361051175,,KONDOR12,True,True,True,NaN,,,1674359097.754,1674359097.754,1674356400,True
1674359099,4b5d8b,47.44653960646055,8.55304937524993,7.901338811575731,43.59679418536301,,KONDOR12,True,True,True,NaN,,,1674359098.754,1674359098.754,1674356400,True
1674359100,4b5d8b,47.44660269220867,8.553113280257561,8.50300644028617,34.41345456623547,,KONDOR12,True,True,True,NaN,,,1674359099.754,1674359099.754,1674356400,True
1674359101,4b5d8b,47.44667816162109,8.553165435791016,9.263088289028993,-154.9503633811789,,KONDOR12,True,True,True,NaN,,,1674359100.925,1674359100.925,1674356400,False
1674359102,4b5d8b,47.44669251522775,8.553173358623797,1.7036224657173011,-159.5300244208044,,KONDOR12,True,True,True,NaN,,,1674359101.381,1674359101.381,1674356400,False
1674359103,4b5d8b,47.44671579134666,8.553190964918869,2.9071624946251737,-152.90834703188816,,KONDOR12,True,True,True,NaN,,,1674359102.416,1674359102.432,1674356400,False
1674359104,4b5d8b,47.446736016165225,8.55319691153991,2.2929250756310706,11.246147794344513,,KONDOR12,True,True,True,NaN,,,1674359103.416,1674359103.432,1674356400,True
1674359105,4b5d8b,47.44676449239612,8.553191600391658,3.1915011544857648,-7.188932840504171,,KONDOR12,True,True,True,NaN,,,1674359104.416,1674359104.432,1674356400,True
1674359106,4b5d8b,47.446800869643845,8.553176572515467,4.199857793364475,-15.609144573880771,,KONDOR12,True,True,True,NaN,,,1674359105.416,1674359105.432,1674356400,True
1674359107,4b5d8b,47.44684479751287,8.553153368952684,5.1868537417080685,-19.65780176387942,,KONDOR12,True,True,True,NaN,,,1674359106.416,1674359106.432,1674356400,True
1674359108,4b5d8b,47.44689592560766,8.55312353074466,6.111944954614954,-21.5377160826301,,KONDOR12,True,True,True,NaN,,,1674359107.416,1674359107.432,1674356400,True
1674359109,4b5d8b,47.4469539035327,8.553088598932746,6.961465438643223,-22.168706954510377,,KONDOR12,True,True,True,NaN,,,1674359108.416,1674359108.432,1674356400,True
1674359110,4b5d8b,47.44701838089248,8.553050114558292,7.731588702117686,158.0188080203738,,KONDOR12,True,True,True,NaN,,,1674359109.367,1674359109.367,1674356400,False
1674359111,4b5d8b,47.44705581665039,8.553028106689453,4.479580308149746,158.31876198397885,,KONDOR12,True,True,True,NaN,,,1674359110.261,1674359110.261,1674356400,False
1674359112,4b5d8b,47.44711148536811,8.552997295673077,6.609478912078011,159.47930257081197,,KONDOR12,True,True,True,NaN,,,1674359111.254,1674359111.254,1674356400,False
1674359113,4b5d8b,47.4471929517843,8.552944476787859,9.891151490660691,156.3244160978867,,KONDOR12,True,True,True,NaN,,,1674359112.84,1674359112.84,1674356400,False
1674359114,4b5d8b,47.44725036621094,8.55289077758789,7.5540594425670955,147.68628281431413,,KONDOR12,True,True,True,NaN,,,1674359113.866,1674359113.866,1674356400,False
