time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1672669619,4aaa0b,46.23811340332031,6.10297226324314,0.0,0.0,-2.27584,SEJPK,True,True,True,NaN,312.42,472.4400000000001,1672669618.587,1672669618.587,1672668000,False
1672669620,4aaa0b,46.23810754607025,6.102970716730439,0.6620681010522363,-169.6505511637702,0.0,SEJPK,True,True,True,NaN,308.61,472.4400000000001,1672669619.587,1672669619.587,1672668000,True
1672669621,4aaa0b,46.23810331700211,6.102973937988281,0.514444,90.0,-0.97536,SEJPK,True,True,True,NaN,304.8,472.4400000000001,1672669620.488,1672669620.488,1672668000,False
1672669622,4aaa0b,46.23811061502529,6.103004604848336,2.49427164398166,71.01340535127315,0.0,SEJPK,True,True,True,NaN,308.61,472.4400000000001,1672669621.488,1672669621.488,1672668000,True
1672669623,4aaa0b,46.23811340332031,6.103039253048781,2.300663509233804,116.565051177078,1.95072,SEJPK,True,True,True,NaN,312.42,472.4400000000001,1672669622.5,1672669622.5,1672668000,False
1672669624,4aaa0b,46.23810331700211,6.103042602539062,3.709708440709593,123.6900675259798,4.8768,SEJPK,True,True,True,NaN,312.42,464.8200000000001,1672669623.02,1672669623.608,1672668000,False
1672669625,4aaa0b,46.2380567647643,6.103111267089844,5.56456266106439,123.6900675259798,6.827520000000001,SEJPK,True,True,True,NaN,335.28,480.0600000000001,1672669624.627,1672669624.627,1672668000,False
1672669626,4aaa0b,46.23801641949153,6.103175744777772,6.6870814914518135,132.13453935246832,0.0,SEJPK,True,True,True,NaN,339.09,480.0600000000001,1672669625.627,1672669625.627,1672668000,True
1672669627,4aaa0b,46.23797607421875,6.103240222465701,5.56456266106439,123.6900675259798,6.827520000000001,SEJPK,True,True,True,NaN,342.9,480.0600000000001,1672669626.582,1672669626.582,1672668000,False
1672669628,4aaa0b,46.23788689881991,6.10339609877429,15.557818304421296,129.59480732108617,0.0,SEJPK,True,True,True,NaN,340.35999999999996,480.0600000000001,1672669627.582,1672669627.582,1672668000,True
1672669629,4aaa0b,46.2378486749893,6.103488573526058,8.285441935697321,120.86273928519218,0.0,SEJPK,True,True,True,NaN,337.82,480.0600000000001,1672669628.582,1672669628.582,1672668000,True
1672669630,4aaa0b,46.23774719238281,6.103642161299543,18.72604425940514,127.1847064532331,0.65024,SEJPK,True,True,True,NaN,335.28,480.0600000000001,1672669629.164,1672669629.164,1672668000,False
1672669631,4aaa0b,46.237563940506085,6.10396870403947,32.34104233096624,129.05416192204254,0.0,SEJPK,True,True,True,NaN,335.28,480.0600000000001,1672669630.164,1672669630.164,1672668000,True
1672669632,4aaa0b,46.237518456954845,6.10418648603294,17.496564448188167,106.80155193954906,0.0,SEJPK,True,True,True,NaN,335.28,480.0600000000001,1672669631.164,1672669631.164,1672668000,True
1672669633,4aaa0b,46.23733520507812,6.104513028772867,18.72604425940514,127.1847064532331,0.65024,SEJPK,True,True,True,NaN,335.28,480.0600000000001,1672669632.53,1672669632.53,1672668000,False
