time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1674360949,4b5d6b,47.44696426391602,8.553096771240234,8.109832315140668,154.36592592576565,,VIKTOR24,True,True,True,NaN,,,1674360948.513,1674360948.568,1674360000,False
1674360950,4b5d6b,47.44703001895193,8.553050114558292,8.109832315140668,154.36592592576565,,VIKTOR24,True,True,True,NaN,,,1674360949.583,1674360949.583,1674360000,False
1674360951,4b5d6b,47.44709984730866,8.552997295673077,8.721475076959035,152.90849340277856,,VIKTOR24,True,True,True,NaN,,,1674360950.61,1674360950.61,1674360000,False
1674360952,4b5d6b,47.44717025756836,8.552942276000977,8.855230613700854,152.14585517777775,,VIKTOR24,True,True,True,NaN,,,1674360951.74,1674360951.74,1674360000,False
1674360953,4b5d6b,47.44723950402211,8.552891657902643,8.589305755759398,153.69483723575559,,VIKTOR24,True,True,True,NaN,,,1674360952.838,1674360952.838,1674360000,False
1674360954,4b5d6b,47.44730933237884,8.552838839017427,8.721467873680053,152.908585921118,,VIKTOR24,True,True,True,NaN,,,1674360953.846,1674360953.846,1674360000,False
1674360955,4b5d6b,47.44734191894531,8.55282211303711,3.835545624011195,160.8574099768706,,VIKTOR24,True,True,True,NaN,,,1674360954.313,1674360954.313,1674360000,False
1674360956,4b5d6b,47.44746062715175,8.552733201246994,14.796458352072086,153.1368385185985,,VIKTOR24,True,True,True,NaN,,,1674360955.773,1674360955.773,1674360000,False
1674360957,4b5d6b,47.44753125831145,8.552681935496393,8.748941159660731,-26.144065245084537,,VIKTOR24,True,True,True,NaN,,,1674360956.773,1674360956.773,1674360000,True
1674360958,4b5d6b,47.44759596116378,8.55263812582801,7.912997043065716,-24.60265757881334,,VIKTOR24,True,True,True,NaN,,,1674360957.773,1674360957.773,1674360000,True
1674360959,4b5d6b,47.44765515986295,8.552601068479685,7.148127566127787,-22.944352206775044,,VIKTOR24,True,True,True,NaN,,,1674360958.773,1674360958.773,1674360000,True
1674360960,4b5d6b,47.447709278563146,8.552570059689272,6.453693477644796,-21.180515025937883,,VIKTOR24,True,True,True,NaN,,,1674360959.773,1674360959.773,1674360000,True
1674360961,4b5d6b,47.44775874141857,8.552544395694612,5.8287684813318235,-19.33501446508167,,VIKTOR24,True,True,True,NaN,,,1674360960.773,1674360960.773,1674360000,True
1674360962,4b5d6b,47.44780397258342,8.552523372733559,5.2720728169266735,-17.44893075557465,,VIKTOR24,True,True,True,NaN,,,1674360961.773,1674360961.773,1674360000,True
1674360963,4b5d6b,47.44784539621189,8.552506287043954,4.781926081460538,-15.585500962521689,,VIKTOR24,True,True,True,NaN,,,1674360962.773,1674360962.773,1674360000,True
1674360964,4b5d6b,47.447883436458184,8.552492434863646,4.35625037839022,-13.834232080981122,,VIKTOR24,True,True,True,NaN,,,1674360963.773,1674360963.773,1674360000,True
1674360965,4b5d6b,47.4479185174765,8.552481112430488,3.992666174616137,-12.312489208183937,,VIKTOR24,True,True,True,NaN,,,1674360964.773,1674360964.773,1674360000,True
1674360966,4b5d6b,47.44795106342104,8.552471615982318,3.6887254840422052,-11.162378016810267,,VIKTOR24,True,True,True,NaN,,,1674360965.773,1674360965.773,1674360000,True
1674360967,4b5d6b,47.44798149844599,8.55246324175699,3.442308318710544,-10.54067116902626,,VIKTOR24,True,True,True,NaN,,,1674360966.773,1674360966.773,1674360000,True
1674360968,4b5d6b,47.44801024670554,8.552455285992348,3.252158932131316,-10.600127640682828,,VIKTOR24,True,True,True,NaN,,,1674360967.773,1674360967.773,1674360000,True
1674360969,4b5d6b,47.44803773235391,8.552447044926241,3.1184581646064915,-11.462108881150005,,VIKTOR24,True,True,True,NaN,,,1674360968.773,1674360968.773,1674360000,True
1674360970,4b5d6b,47.448064379545286,8.552437814796516,3.0432383311121876,-13.183508712674161,,VIKTOR24,True,True,True,NaN,,,1674360969.773,1674360969.773,1674360000,True
1674360971,4b5d6b,47.448090612433866,8.55242689184102,3.0304000564144875,-15.726315764833297,,VIKTOR24,True,True,True,NaN,,,1674360970.773,1674360970.773,1674360000,True
1674360972,4b5d6b,47.44811685517386,8.552413572297597,3.0851642122334235,-18.94404343384245,,VIKTOR24,True,True,True,NaN,,,1674360971.773,1674360971.773,1674360000,True
1674360973,4b5d6b,47.448143531919435,8.5523971524041,3.2130316555773315,-22.599292555807413,,VIKTOR24,True,True,True,NaN,,,1674360972.773,1674360972.773,1674360000,True
1674360974,4b5d6b,47.44817106682481,8.552376928398372,3.4186267054069392,-26.413647914593703,,VIKTOR24,True,True,True,NaN,,,1674360973.773,1674360973.773,1674360000,True
1674360975,4b5d6b,47.448199884044186,8.552352196518264,3.7049126202009717,-30.130253022777325,,VIKTOR24,True,True,True,NaN,,,1674360974.773,1674360974.773,1674360000,True
1674360976,4b5d6b,47.44823040773176,8.552322253001618,4.073040586427277,-33.560385185915514,,VIKTOR24,True,True,True,NaN,,,1674360975.773,1674360975.773,1674360000,True
1674360977,4b5d6b,47.44826306204171,8.552286394086286,4.522718677678251,-36.598371712698544,,VIKTOR24,True,True,True,NaN,,,1674360976.773,1674360976.773,1674360000,True
1674360978,4b5d6b,47.44829827112826,8.552243916010116,5.052784349826516,-39.20995129302492,,VIKTOR24,True,True,True,NaN,,,1674360977.773,1674360977.773,1674360000,True
1674360979,4b5d6b,47.448336459145594,8.55219411501095,5.66171553502998,-41.40918860600164,,VIKTOR24,True,True,True,NaN,,,1674360978.773,1674360978.773,1674360000,True
1674360980,4b5d6b,47.44837805024791,8.552136287326638,6.347971217171493,-43.23625582214067,,VIKTOR24,True,True,True,NaN,,,1674360979.773,1674360979.773,1674360000,True
1674360981,4b5d6b,47.44842346858941,8.552069729195027,7.11016875354419,-44.741375488988034,,VIKTOR24,True,True,True,NaN,,,1674360980.773,1674360980.773,1674360000,True
1674360982,4b5d6b,47.44847313832428,8.551993736853966,7.947148921445133,134.02472284976255,,VIKTOR24,True,True,True,NaN,,,1674360981.565,1674360981.565,1674360000,False
1674360983,4b5d6b,47.44849536263978,8.55196130297177,3.472058390856667,-44.622659961748376,,VIKTOR24,True,True,True,NaN,,,1674360982.565,1674360982.565,1674360000,True
1674360984,4b5d6b,47.44851624887496,8.55193356250637,3.12169916533893,-41.92948004038018,,VIKTOR24,True,True,True,NaN,,,1674360983.565,1674360983.565,1674360000,True
1674360985,4b5d6b,47.44853575316163,8.551909847097308,2.807802484488673,-39.42909384319881,,VIKTOR24,True,True,True,NaN,,,1674360984.565,1674360984.565,1674360000,True
1674360986,4b5d6b,47.4485538316316,8.551889488384125,2.5267893698132324,-37.29100332708827,,VIKTOR24,True,True,True,NaN,,,1674360985.565,1674360985.565,1674360000,True
1674360987,4b5d6b,47.44857044041667,8.551871818006362,2.275139739264887,-35.734110144042894,,VIKTOR24,True,True,True,NaN,,,1674360986.565,1674360986.565,1674360000,True
